L1_CODE,L0_CODE,L0_NAME,L1_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,Badakhshan,1945.6266562788535,1.0,Member State,AFG,ND,2016
AFG10,AFG1,Afghanistan,Ghor,1395.4959350414292,1.0,Member State,AFG,ND,2016
AFG11,AFG1,Afghanistan,Hilmand,1816.1042073648005,1.0,Member State,AFG,ND,2016
AFG12,AFG1,Afghanistan,Hirat,7569.622068840525,1.0,Member State,AFG,ND,2016
AFG13,AFG1,Afghanistan,Jawzjan,940.5878135954981,1.0,Member State,AFG,ND,2016
AFG14,AFG1,Afghanistan,Kabul,20701.28162672084,1.0,Member State,AFG,ND,2016
AFG15,AFG1,Afghanistan,Kandahar,4731.249175920202,1.0,Member State,AFG,ND,2016
AFG16,AFG1,Afghanistan,Kapisa,796.1910622637964,1.0,Member State,AFG,ND,2016
AFG17,AFG1,Afghanistan,Khost,1357.6356286931034,1.0,Member State,AFG,ND,2016
AFG18,AFG1,Afghanistan,Kunar,933.8271503736274,1.0,Member State,AFG,ND,2016
AFG19,AFG1,Afghanistan,Kunduz,1797.0499003879884,1.0,Member State,AFG,ND,2016
AFG2,AFG1,Afghanistan,Badghis,984.9272121068597,1.0,Member State,AFG,ND,2016
AFG20,AFG1,Afghanistan,Laghman,970.462117909371,1.0,Member State,AFG,ND,2016
AFG21,AFG1,Afghanistan,Logar,753.3734514945788,1.0,Member State,AFG,ND,2016
AFG22,AFG1,Afghanistan,Nangarhar,3626.101168589165,1.0,Member State,AFG,ND,2016
AFG23,AFG1,Afghanistan,Nimroz,566.0507833423671,1.0,Member State,AFG,ND,2016
AFG24,AFG1,Afghanistan,Nuristan,255.46460373076195,1.0,Member State,AFG,ND,2016
AFG25,AFG1,Afghanistan,Paktika,826.9439093126077,1.0,Member State,AFG,ND,2016
AFG26,AFG1,Afghanistan,Paktya,956.8808684299678,1.0,Member State,AFG,ND,2016
AFG27,AFG1,Afghanistan,Panjsher,296.77003467377585,1.0,Member State,AFG,ND,2016
AFG28,AFG1,Afghanistan,Parwan,1482.8771334114033,1.0,Member State,AFG,ND,2016
AFG29,AFG1,Afghanistan,Samangan,748.0094265605173,1.0,Member State,AFG,ND,2016
AFG3,AFG1,Afghanistan,Baghlan,1863.6887366781402,1.0,Member State,AFG,ND,2016
AFG30,AFG1,Afghanistan,Sar-e-Pul,950.9442163216655,1.0,Member State,AFG,ND,2016
AFG31,AFG1,Afghanistan,Takhar,2074.1279292420495,1.0,Member State,AFG,ND,2016
AFG32,AFG1,Afghanistan,Uruzgan,642.851781969727,1.0,Member State,AFG,ND,2016
AFG33,AFG1,Afghanistan,Wardak,1133.7804421443557,1.0,Member State,AFG,ND,2016
AFG34,AFG1,Afghanistan,Zabul,581.6156370652635,1.0,Member State,AFG,ND,2016
AFG4,AFG1,Afghanistan,Balkh,4395.60672107583,1.0,Member State,AFG,ND,2016
AFG5,AFG1,Afghanistan,Bamyan,799.714772506948,1.0,Member State,AFG,ND,2016
AFG6,AFG1,Afghanistan,Daykundi,823.3291308248981,1.0,Member State,AFG,ND,2016
AFG7,AFG1,Afghanistan,Farah,896.4421406006223,1.0,Member State,AFG,ND,2016
AFG8,AFG1,Afghanistan,Faryab,1987.4716511986223,1.0,Member State,AFG,ND,2016
AFG9,AFG1,Afghanistan,Ghazni,2107.238826882409,1.0,Member State,AFG,ND,2016
BGD35,BGD23,Bangladesh,Barishal,31676.528321923575,1.0,Member State,BGD,ND,2016
BGD36,BGD23,Bangladesh,Chattogram,127055.68224518404,1.0,Member State,BGD,ND,2016
BGD37,BGD23,Bangladesh,Dhaka,259365.13016159672,1.0,Member State,BGD,ND,2016
BGD38,BGD23,Bangladesh,Khulna,78786.43221545297,1.0,Member State,BGD,ND,2016
BGD39,BGD23,Bangladesh,Mymensingh,44445.68249316086,1.0,Member State,BGD,ND,2016
BGD40,BGD23,Bangladesh,Rajshahi,80783.39593367549,1.0,Member State,BGD,ND,2016
BGD41,BGD23,Bangladesh,Rangpur,59563.90229240361,1.0,Member State,BGD,ND,2016
BGD42,BGD23,Bangladesh,Sylhet,39180.46578281674,1.0,Member State,BGD,ND,2016
BTN43,BTN31,Bhutan,Bumthang,94.11418417634715,1.0,Member State,BTN,ND,2016
BTN44,BTN31,Bhutan,Chhukha,2777.870184043438,1.0,Member State,BTN,ND,2016
BTN45,BTN31,Bhutan,Dagana,90.4070749639869,1.0,Member State,BTN,ND,2016
BTN46,BTN31,Bhutan,Gasa,21.161313262673026,1.0,Member State,BTN,ND,2016
BTN47,BTN31,Bhutan,Haa,91.18902945571851,1.0,Member State,BTN,ND,2016
BTN48,BTN31,Bhutan,Lhuentse,89.48980507721225,1.0,Member State,BTN,ND,2016
BTN49,BTN31,Bhutan,Monggar,219.07624739961557,1.0,Member State,BTN,ND,2016
BTN50,BTN31,Bhutan,Paro,351.0597411594073,1.0,Member State,BTN,ND,2016
BTN51,BTN31,Bhutan,Pemagatshel,137.8095129250925,1.0,Member State,BTN,ND,2016
BTN52,BTN31,Bhutan,Punakha,160.73662252953645,1.0,Member State,BTN,ND,2016
BTN53,BTN31,Bhutan,Samdrupjongkhar,265.24761311049707,1.0,Member State,BTN,ND,2016
BTN54,BTN31,Bhutan,Samtse,889.512133542007,1.0,Member State,BTN,ND,2016
BTN55,BTN31,Bhutan,Sarpang,127.05887744634816,1.0,Member State,BTN,ND,2016
BTN56,BTN31,Bhutan,Thimphu,1895.5490275451157,1.0,Member State,BTN,ND,2016
BTN57,BTN31,Bhutan,Trashigang,485.4112896020452,1.0,Member State,BTN,ND,2016
BTN58,BTN31,Bhutan,Trashiyangtse,109.61911391049125,1.0,Member State,BTN,ND,2016
BTN59,BTN31,Bhutan,Trongsa,92.767717153976,1.0,Member State,BTN,ND,2016
BTN60,BTN31,Bhutan,Tsirang,128.16193280550644,1.0,Member State,BTN,ND,2016
BTN61,BTN31,Bhutan,Wangduephodrang,459.06932159862174,1.0,Member State,BTN,ND,2016
BTN62,BTN31,Bhutan,Zhemgang,119.05166504065855,1.0,Member State,BTN,ND,2016
DS38520,DS38520,Arunchal Pradesh,Arunchal Pradesh,7365.853393370217,1.0,,,D,2016
DS38521,DS38521,Disputed - India/Pakistan,Disputed - India/Pakistan,2.1225197234116133,1.0,,,D,2016
DS38522,DS38522,"Disputed Area, China-India-Nepal","Disputed Area, China-India-Nepal",0.2909284008852166,1.0,,,D,2016
DS38523,DS38523,Disputed Area - China-India,Disputed Area - China-India,0.16196589447194729,1.0,,,D,2016
DS38524,DS38524,Disputed Area - China-India,Disputed Area - China-India,3.947895015001962,1.0,,,D,2016
DS38525,DS38525,Disputed Area - China-India,Disputed Area - China-India,2.020888210581173,1.0,,,D,2016
DS38526,DS38526,Disputed Area - China-India,Disputed Area - China-India,0.9276207633593202,1.0,,,D,2016
