L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,26.390788607332702,2.0,Member State,AFG,ND,2015
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,192.10313947209863,2.0,Member State,AFG,ND,2015
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,83.95223201214307,2.0,Member State,AFG,ND,2015
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,124.24244571087043,2.0,Member State,AFG,ND,2015
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,451.487386312971,2.0,Member State,AFG,ND,2015
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,68.17853242093572,2.0,Member State,AFG,ND,2015
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,246.8663934456234,2.0,Member State,AFG,ND,2015
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,56.96058448018288,2.0,Member State,AFG,ND,2015
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,172.89243504390524,2.0,Member State,AFG,ND,2015
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,38.987123634916735,2.0,Member State,AFG,ND,2015
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,43.88598597242171,2.0,Member State,AFG,ND,2015
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,204.3741314570043,2.0,Member State,AFG,ND,2015
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,95.19953757175523,2.0,Member State,AFG,ND,2015
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,89.09589180820089,2.0,Member State,AFG,ND,2015
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,118.34371404832147,2.0,Member State,AFG,ND,2015
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,260.0687731427662,2.0,Member State,AFG,ND,2015
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,56.7310521297104,2.0,Member State,AFG,ND,2015
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,54.73068397215241,2.0,Member State,AFG,ND,2015
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,313.5977235665599,2.0,Member State,AFG,ND,2015
AFG116,AFG1,Afghanistan,AFG9,Ghazni,Khwaja Umari,34.799262318647024,2.0,Member State,AFG,ND,2015
AFG117,AFG1,Afghanistan,AFG9,Ghazni,Malestan,119.8264238186495,2.0,Member State,AFG,ND,2015
AFG118,AFG1,Afghanistan,AFG9,Ghazni,Muqur,83.89593312677037,2.0,Member State,AFG,ND,2015
AFG119,AFG1,Afghanistan,AFG9,Ghazni,Nawa,37.17612422295983,2.0,Member State,AFG,ND,2015
AFG12,AFG1,Afghanistan,AFG1,Badakhshan,Khwahan,33.62464266692867,2.0,Member State,AFG,ND,2015
AFG120,AFG1,Afghanistan,AFG9,Ghazni,Nawur,323.3272883193202,2.0,Member State,AFG,ND,2015
AFG121,AFG1,Afghanistan,AFG9,Ghazni,Qarabagh,243.69885067716194,2.0,Member State,AFG,ND,2015
AFG122,AFG1,Afghanistan,AFG9,Ghazni,Rashidan,26.267353138947332,2.0,Member State,AFG,ND,2015
AFG123,AFG1,Afghanistan,AFG9,Ghazni,Waghaz,62.58627878507109,2.0,Member State,AFG,ND,2015
AFG124,AFG1,Afghanistan,AFG9,Ghazni,Wali Muhammad-e- Shahid,52.75600777823487,2.0,Member State,AFG,ND,2015
AFG125,AFG1,Afghanistan,AFG9,Ghazni,Zana Khan,16.96285181850208,2.0,Member State,AFG,ND,2015
AFG126,AFG1,Afghanistan,AFG10,Ghor,Chaghcharan,315.68340540655333,2.0,Member State,AFG,ND,2015
AFG127,AFG1,Afghanistan,AFG10,Ghor,Chahar Sadra,58.584579436032385,2.0,Member State,AFG,ND,2015
AFG128,AFG1,Afghanistan,AFG10,Ghor,Dawlat Yar,75.79466401490853,2.0,Member State,AFG,ND,2015
AFG129,AFG1,Afghanistan,AFG10,Ghor,Du Lina,61.977349765346894,2.0,Member State,AFG,ND,2015
AFG13,AFG1,Afghanistan,AFG1,Badakhshan,Kof Ab,49.74760103107625,2.0,Member State,AFG,ND,2015
AFG130,AFG1,Afghanistan,AFG10,Ghor,Lal Wa Sarjangal,181.78759427591262,2.0,Member State,AFG,ND,2015
AFG131,AFG1,Afghanistan,AFG10,Ghor,Pasaband,154.16581490127498,2.0,Member State,AFG,ND,2015
AFG132,AFG1,Afghanistan,AFG10,Ghor,Saghar,65.46152801745428,2.0,Member State,AFG,ND,2015
AFG133,AFG1,Afghanistan,AFG10,Ghor,Shahrak,164.0406997846497,2.0,Member State,AFG,ND,2015
AFG134,AFG1,Afghanistan,AFG10,Ghor,Taywarah,189.86132739838308,2.0,Member State,AFG,ND,2015
AFG135,AFG1,Afghanistan,AFG10,Ghor,Tolak,96.70581867181906,2.0,Member State,AFG,ND,2015
AFG136,AFG1,Afghanistan,AFG11,Hilmand,Baghran,178.0544150425719,2.0,Member State,AFG,ND,2015
AFG137,AFG1,Afghanistan,AFG11,Hilmand,Deh shu,29.8824092784632,2.0,Member State,AFG,ND,2015
AFG138,AFG1,Afghanistan,AFG11,Hilmand,Garm Ser,190.84269566132744,2.0,Member State,AFG,ND,2015
