L0_CODE,L0_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,Afghanistan,77389.6699023258,0,Member State,AFG,ND,2020
BGD23,Bangladesh,918759.1809489274,0,Member State,BGD,ND,2020
BTN31,Bhutan,8846.649667715854,0,Member State,BTN,ND,2020
DS38520,Arunchal Pradesh,9099.847467635882,0,,,D,2020
DS38521,Disputed - India/Pakistan,2.2367807199384635,0,,,D,2020
DS38522,"Disputed Area, China-India-Nepal",0.3150292807445755,0,,,D,2020
DS38523,Disputed Area - China-India,0.13249852562030096,0,,,D,2020
DS38524,Disputed Area - China-India,3.8747204414911214,0,,,D,2020
DS38525,Disputed Area - China-India,2.250065693367877,0,,,D,2020
DS38526,Disputed Area - China-India,0.8449515992996999,0,,,D,2020
DS38527,Disputed - India/Pakistan,0.008576481223564594,0,,,D,2020
DS38528,Disputed - India/Pakistan,9.93151599735649e-06,0,,,D,2020
DS38529,Disputed - India/Pakistan,0.7092042619530231,0,,,D,2020
DS38530,Disputed - India/Pakistan,52.714711309926294,0,,,D,2020
IND115,India,8409740.374679305,0,Member State,IND,ND,2020
LKA231,Sri Lanka,241751.48904325548,0,Member State,LKA,ND,2020
MDV154,Maldives,18.444692814504762,0,Member State,MDV,ND,2020
NPL175,Nepal,105703.8789485797,0,Member State,NPL,ND,2020
PAK188,Pakistan,1117236.6219942917,0,Sovereignty unsettled,PAK,ND,2020
