L0_CODE,L0_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,Afghanistan,70514.39057705784,0,Member State,AFG,ND,2014
BGD23,Bangladesh,631608.82609858,0,Member State,BGD,ND,2014
BTN31,Bhutan,7468.517320811477,0,Member State,BTN,ND,2014
DS38520,Arunchal Pradesh,5990.113541707768,0,,,D,2014
DS38521,Disputed - India/Pakistan,2.1883906126537203,0,,,D,2014
DS38522,"Disputed Area, China-India-Nepal",0.2985927586716145,0,,,D,2014
DS38523,Disputed Area - China-India,0.16737942264637581,0,,,D,2014
DS38524,Disputed Area - China-India,3.891873917724001,0,,,D,2014
DS38525,Disputed Area - China-India,2.1204455685770416,0,,,D,2014
DS38526,Disputed Area - China-India,0.8979285814733503,0,,,D,2014
DS38527,Disputed - India/Pakistan,0.006817002767787132,0,,,D,2014
DS38528,Disputed - India/Pakistan,7.894050051235613e-06,0,,,D,2014
DS38529,Disputed - India/Pakistan,0.7362125796558059,0,,,D,2014
DS38530,Disputed - India/Pakistan,50.61059305966803,0,,,D,2014
IND115,India,6460300.737419806,0,Member State,IND,ND,2014
LKA231,Sri Lanka,214550.93278583811,0,Member State,LKA,ND,2014
MDV154,Maldives,22.091738036205587,0,Member State,MDV,ND,2014
NPL175,Nepal,83237.56441023166,0,Member State,NPL,ND,2014
PAK188,Pakistan,891821.3649833093,0,Sovereignty unsettled,PAK,ND,2014
