L0_CODE,L0_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,Afghanistan,75754.94867721818,0,Member State,AFG,ND,2017
BGD23,Bangladesh,767604.5878422282,0,Member State,BGD,ND,2017
BTN31,Bhutan,8996.433709375398,0,Member State,BTN,ND,2017
DS38520,Arunchal Pradesh,7511.244784410694,0,,,D,2017
DS38521,Disputed - India/Pakistan,2.179533293099485,0,,,D,2017
DS38522,"Disputed Area, China-India-Nepal",0.2904769623114227,0,,,D,2017
DS38523,Disputed Area - China-India,0.15978496147235813,0,,,D,2017
DS38524,Disputed Area - China-India,4.169716256743481,0,,,D,2017
DS38525,Disputed Area - China-India,2.1476266089904392,0,,,D,2017
DS38526,Disputed Area - China-India,0.9390971573908182,0,,,D,2017
DS38527,Disputed - India/Pakistan,0.008319867371422037,0,,,D,2017
DS38528,Disputed - India/Pakistan,9.634358630452366e-06,0,,,D,2017
DS38529,Disputed - India/Pakistan,0.7472948213518724,0,,,D,2017
DS38530,Disputed - India/Pakistan,49.52361662976385,0,,,D,2017
IND115,India,8061933.657331041,0,Member State,IND,ND,2017
LKA231,Sri Lanka,250946.0952179213,0,Member State,LKA,ND,2017
MDV154,Maldives,24.548768106137032,0,Member State,MDV,ND,2017
NPL175,Nepal,94963.16821784739,0,Member State,NPL,ND,2017
PAK188,Pakistan,1047034.933874528,0,Sovereignty unsettled,PAK,ND,2017
