L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,22.722048147318155,2.0,Member State,AFG,ND,2012
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,163.01614506948914,2.0,Member State,AFG,ND,2012
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,73.05452143466816,2.0,Member State,AFG,ND,2012
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,111.95159747918647,2.0,Member State,AFG,ND,2012
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,400.5200083201678,2.0,Member State,AFG,ND,2012
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,59.869246069198745,2.0,Member State,AFG,ND,2012
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,215.90073442962276,2.0,Member State,AFG,ND,2012
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,50.05023105952714,2.0,Member State,AFG,ND,2012
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,150.37475965643742,2.0,Member State,AFG,ND,2012
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,39.80913080314721,2.0,Member State,AFG,ND,2012
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,44.559304578800784,2.0,Member State,AFG,ND,2012
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,205.41587185576176,2.0,Member State,AFG,ND,2012
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,80.79521291167751,2.0,Member State,AFG,ND,2012
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,90.89151999800423,2.0,Member State,AFG,ND,2012
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,111.94281223906772,2.0,Member State,AFG,ND,2012
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,272.5315947599527,2.0,Member State,AFG,ND,2012
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,60.892634789716425,2.0,Member State,AFG,ND,2012
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,57.18980600561215,2.0,Member State,AFG,ND,2012
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,235.84518137967774,2.0,Member State,AFG,ND,2012
AFG116,AFG1,Afghanistan,AFG9,Ghazni,Khwaja Umari,32.61423538640298,2.0,Member State,AFG,ND,2012
AFG117,AFG1,Afghanistan,AFG9,Ghazni,Malestan,121.96625971267741,2.0,Member State,AFG,ND,2012
AFG118,AFG1,Afghanistan,AFG9,Ghazni,Muqur,86.90657499259626,2.0,Member State,AFG,ND,2012
AFG119,AFG1,Afghanistan,AFG9,Ghazni,Nawa,37.78543931676492,2.0,Member State,AFG,ND,2012
AFG12,AFG1,Afghanistan,AFG1,Badakhshan,Khwahan,25.95681548676007,2.0,Member State,AFG,ND,2012
AFG120,AFG1,Afghanistan,AFG9,Ghazni,Nawur,304.5519569661894,2.0,Member State,AFG,ND,2012
AFG121,AFG1,Afghanistan,AFG9,Ghazni,Qarabagh,242.91692171811363,2.0,Member State,AFG,ND,2012
AFG122,AFG1,Afghanistan,AFG9,Ghazni,Rashidan,27.554419358145786,2.0,Member State,AFG,ND,2012
AFG123,AFG1,Afghanistan,AFG9,Ghazni,Waghaz,63.79183548014056,2.0,Member State,AFG,ND,2012
AFG124,AFG1,Afghanistan,AFG9,Ghazni,Wali Muhammad-e- Shahid,55.17869289322632,2.0,Member State,AFG,ND,2012
AFG125,AFG1,Afghanistan,AFG9,Ghazni,Zana Khan,17.299587158057516,2.0,Member State,AFG,ND,2012
