globalid,wb_status,sovereign,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_CODE,L2_NAME,Disputed,total_gdp,year,geo_level
{CB7CCD72-3814-4EDB-8F85-D81A5F263906},Member State,AFG,AFG1,Afghanistan,AFG2,Badghis,AFG35,Qala-e-Naw,ND,170.79252487908434,2022,2.0
{2565F043-3745-4851-A681-37B25818A299},Member State,AFG,AFG1,Afghanistan,AFG3,Baghlan,AFG36,Andarab,ND,67.9680816635871,2022,2.0
{FFB1FC40-3DE9-43AA-BF6F-DD99DB452F6E},Member State,AFG,AFG1,Afghanistan,AFG3,Baghlan,AFG37,Baghlan-e-jadid,ND,242.10405325736525,2022,2.0
{0FF32643-BD81-458A-8A14-449E7307C32E},Member State,AFG,AFG1,Afghanistan,AFG3,Baghlan,AFG38,Burka,ND,85.90651511271824,2022,2.0
{C97752D8-6597-474C-92F1-70E213F01BC4},Member State,AFG,AFG1,Afghanistan,AFG3,Baghlan,AFG39,Dahana-e-Ghory,ND,131.77304131923222,2022,2.0
{DA8D8ED4-D875-424E-B3DE-BB727137A37B},Member State,AFG,AFG1,Afghanistan,AFG3,Baghlan,AFG40,Deh Salah,ND,43.240813467171854,2022,2.0
{9E165C4D-E359-4278-A537-EF9B1D547048},Member State,AFG,AFG1,Afghanistan,AFG3,Baghlan,AFG41,Dushi,ND,120.30076850411083,2022,2.0
{BB440741-F499-4273-90D8-70E6A76DA258},Member State,AFG,AFG1,Afghanistan,AFG3,Baghlan,AFG42,Firing Wa Gharu,ND,29.69927309805359,2022,2.0
{A7A62DC6-191A-4AC8-BEE4-3F98CC46928B},Member State,AFG,AFG1,Afghanistan,AFG3,Baghlan,AFG43,Guzargah-e- Nur,ND,18.25349861192368,2022,2.0
{6053602A-79E1-4E91-A996-8FBB68C74841},Member State,AFG,AFG1,Afghanistan,AFG3,Baghlan,AFG44,Khenjan,ND,46.64250758760228,2022,2.0
{61E9A428-88D0-4CBE-8F44-5B76B7F35B7F},Member State,AFG,AFG1,Afghanistan,AFG3,Baghlan,AFG45,Khowst wa Fereng,ND,100.92475098067513,2022,2.0
{DA4D0D3E-4B7E-4352-98AF-E5161C18D32C},Member State,AFG,AFG1,Afghanistan,AFG3,Baghlan,AFG46,Khwaja Hejran,ND,31.357982115163612,2022,2.0
{4E55FC56-2D7E-4927-A548-018491C87C24},Member State,AFG,AFG1,Afghanistan,AFG3,Baghlan,AFG47,Nahrin,ND,91.69654436455248,2022,2.0
{C359B693-C249-4182-B3C7-C750F1E4FFE7},Member State,AFG,AFG1,Afghanistan,AFG3,Baghlan,AFG48,Pul-e- khumri,ND,343.71587349465176,2022,2.0
{51A63238-703D-4385-9DE2-027E848C7F57},Member State,AFG,AFG1,Afghanistan,AFG3,Baghlan,AFG49,Pul-e-Hesar,ND,42.852076384249756,2022,2.0
{6ADF35FE-456C-4626-BB30-9022846411A6},Member State,AFG,AFG1,Afghanistan,AFG3,Baghlan,AFG50,Tala wa barfak,ND,42.62968183056339,2022,2.0
{49293835-91D4-499A-B180-87E65001F640},Member State,AFG,AFG1,Afghanistan,AFG4,Balkh,AFG51,Balkh,ND,150.16670881378784,2022,2.0
{3260177E-AFA8-44C0-9DA1-2342E475189D},Member State,AFG,AFG1,Afghanistan,AFG4,Balkh,AFG52,Chahar Bolak,ND,118.43539772717553,2022,2.0
{9F2B3233-51B8-4E39-B466-75A56AB4ECE0},Member State,AFG,AFG1,Afghanistan,AFG4,Balkh,AFG53,Chahar Kent,ND,61.05653029072731,2022,2.0
{45C4C454-F599-4E4C-BFCD-04C1920FF765},Member State,AFG,AFG1,Afghanistan,AFG4,Balkh,AFG54,Chemtal,ND,163.03976454305794,2022,2.0
{FD95B848-F29D-403D-85E5-337D98CF5C52},Member State,AFG,AFG1,Afghanistan,AFG4,Balkh,AFG55,Dawlat Abad,ND,140.67074043249988,2022,2.0
{6FF08974-D39E-463A-8467-C35B60E30ACA},Member State,AFG,AFG1,Afghanistan,AFG4,Balkh,AFG56,Deh Dadi,ND,98.90053435791344,2022,2.0
{3327ECCC-898C-4B54-AC48-E35509091ED6},Member State,AFG,AFG1,Afghanistan,AFG4,Balkh,AFG57,Kaldar,ND,24.50328468798918,2022,2.0
{822EFE93-A4DD-4318-B0B7-15C563C9EDFC},Member State,AFG,AFG1,Afghanistan,AFG4,Balkh,AFG58,Khulm,ND,107.55366175006904,2022,2.0
{F46AE2B5-A6A4-4273-B323-1E6B9F81562D},Member State,AFG,AFG1,Afghanistan,AFG4,Balkh,AFG59,Kishindeh,ND,58.807890746729704,2022,2.0
{5573386D-4E10-40A3-A2C5-90A0D1CE2B1C},Member State,AFG,AFG1,Afghanistan,AFG4,Balkh,AFG60,Marmul,ND,30.809457483265483,2022,2.0
{87E114E9-8756-43D7-BF88-1D81DB47AAD7},Member State,AFG,AFG1,Afghanistan,AFG4,Balkh,AFG61,Mazar-e-Sharif,ND,826.1959009647215,2022,2.0
{247C8E09-E27B-4E22-9395-8E2E549F2142},Member State,AFG,AFG1,Afghanistan,AFG4,Balkh,AFG62,Nahr-e- Shahi,ND,1400.9001288464153,2022,2.0
{0A0FED5E-4BC4-4A8D-8439-8C48041D0B16},Member State,AFG,AFG1,Afghanistan,AFG4,Balkh,AFG63,Sholgareh,ND,130.2865893133278,2022,2.0
{268D5B48-444D-4B55-B5E2-C48C118FA69D},Member State,AFG,AFG1,Afghanistan,AFG4,Balkh,AFG64,Shor Tepa,ND,540.5606044520853,2022,2.0
{926B0A9B-A109-4981-AE40-09FC0DFEB4BE},Member State,AFG,AFG1,Afghanistan,AFG4,Balkh,AFG65,Zari,ND,53.23545731208647,2022,2.0
