L0_CODE,L0_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,Afghanistan,71744.4236988808,0,Member State,AFG,ND,2015
BGD23,Bangladesh,672919.0173759345,0,Member State,BGD,ND,2015
BTN31,Bhutan,7954.257859765754,0,Member State,BTN,ND,2015
DS38520,Arunchal Pradesh,7280.362225263862,0,,,D,2015
DS38521,Disputed - India/Pakistan,2.155671860789332,0,,,D,2015
DS38522,"Disputed Area, China-India-Nepal",0.27707636464722557,0,,,D,2015
DS38523,Disputed Area - China-India,0.15985462062229258,0,,,D,2015
DS38524,Disputed Area - China-India,3.775724589894971,0,,,D,2015
DS38525,Disputed Area - China-India,1.8639488150407044,0,,,D,2015
DS38526,Disputed Area - China-India,0.8974905096131144,0,,,D,2015
DS38527,Disputed - India/Pakistan,0.006476152629397775,0,,,D,2015
DS38528,Disputed - India/Pakistan,7.499347548673832e-06,0,,,D,2015
DS38529,Disputed - India/Pakistan,0.7039714146142472,0,,,D,2015
DS38530,Disputed - India/Pakistan,49.27670514435122,0,,,D,2015
IND115,India,6980729.120509113,0,Member State,IND,ND,2015
LKA231,Sri Lanka,224622.2500881677,0,Member State,LKA,ND,2015
MDV154,Maldives,22.624519898044287,0,Member State,MDV,ND,2015
NPL175,Nepal,86376.24332258095,0,Member State,NPL,ND,2015
PAK188,Pakistan,934734.9857786571,0,Sovereignty unsettled,PAK,ND,2015
