L1_CODE,L0_CODE,L0_NAME,L1_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,Badakhshan,2149.4246567668,1.0,Member State,AFG,ND,2020
AFG10,AFG1,Afghanistan,Ghor,1485.6443278186496,1.0,Member State,AFG,ND,2020
AFG11,AFG1,Afghanistan,Hilmand,1859.5665549278026,1.0,Member State,AFG,ND,2020
AFG12,AFG1,Afghanistan,Hirat,8471.368758778402,1.0,Member State,AFG,ND,2020
AFG13,AFG1,Afghanistan,Jawzjan,989.5437162238422,1.0,Member State,AFG,ND,2020
AFG14,AFG1,Afghanistan,Kabul,22014.266159351562,1.0,Member State,AFG,ND,2020
AFG15,AFG1,Afghanistan,Kandahar,4975.674075991887,1.0,Member State,AFG,ND,2020
AFG16,AFG1,Afghanistan,Kapisa,831.4007672093431,1.0,Member State,AFG,ND,2020
AFG17,AFG1,Afghanistan,Khost,1535.6249198419862,1.0,Member State,AFG,ND,2020
AFG18,AFG1,Afghanistan,Kunar,986.0184026031942,1.0,Member State,AFG,ND,2020
AFG19,AFG1,Afghanistan,Kunduz,1659.0661663426367,1.0,Member State,AFG,ND,2020
AFG2,AFG1,Afghanistan,Badghis,1078.217808477947,1.0,Member State,AFG,ND,2020
AFG20,AFG1,Afghanistan,Laghman,1005.2886410010263,1.0,Member State,AFG,ND,2020
AFG21,AFG1,Afghanistan,Logar,780.3411339820398,1.0,Member State,AFG,ND,2020
AFG22,AFG1,Afghanistan,Nangarhar,3758.8808231110183,1.0,Member State,AFG,ND,2020
AFG23,AFG1,Afghanistan,Nimroz,545.1467003298048,1.0,Member State,AFG,ND,2020
AFG24,AFG1,Afghanistan,Nuristan,262.62449246912274,1.0,Member State,AFG,ND,2020
AFG25,AFG1,Afghanistan,Paktika,829.5825824157558,1.0,Member State,AFG,ND,2020
AFG26,AFG1,Afghanistan,Paktya,991.4932824122801,1.0,Member State,AFG,ND,2020
AFG27,AFG1,Afghanistan,Panjsher,294.2030560706768,1.0,Member State,AFG,ND,2020
AFG28,AFG1,Afghanistan,Parwan,1479.465875036237,1.0,Member State,AFG,ND,2020
AFG29,AFG1,Afghanistan,Samangan,781.4545687779362,1.0,Member State,AFG,ND,2020
AFG3,AFG1,Afghanistan,Baghlan,1851.71668470513,1.0,Member State,AFG,ND,2020
AFG30,AFG1,Afghanistan,Sar-e-Pul,949.4252847693645,1.0,Member State,AFG,ND,2020
AFG31,AFG1,Afghanistan,Takhar,2180.1229826349886,1.0,Member State,AFG,ND,2020
AFG32,AFG1,Afghanistan,Uruzgan,668.3941408706427,1.0,Member State,AFG,ND,2020
AFG33,AFG1,Afghanistan,Wardak,1210.3905818158396,1.0,Member State,AFG,ND,2020
AFG34,AFG1,Afghanistan,Zabul,594.0775989268254,1.0,Member State,AFG,ND,2020
AFG4,AFG1,Afghanistan,Balkh,4618.178384022138,1.0,Member State,AFG,ND,2020
AFG5,AFG1,Afghanistan,Bamyan,839.1597153751425,1.0,Member State,AFG,ND,2020
AFG6,AFG1,Afghanistan,Daykundi,848.244750581271,1.0,Member State,AFG,ND,2020
AFG7,AFG1,Afghanistan,Farah,979.9675893889613,1.0,Member State,AFG,ND,2020
AFG8,AFG1,Afghanistan,Faryab,2114.3807777300385,1.0,Member State,AFG,ND,2020
AFG9,AFG1,Afghanistan,Ghazni,1771.3139415654898,1.0,Member State,AFG,ND,2020
BGD35,BGD23,Bangladesh,Barishal,38043.268364049545,1.0,Member State,BGD,ND,2020
BGD36,BGD23,Bangladesh,Chattogram,158720.91302531905,1.0,Member State,BGD,ND,2020
BGD37,BGD23,Bangladesh,Dhaka,346938.3587120357,1.0,Member State,BGD,ND,2020
BGD38,BGD23,Bangladesh,Khulna,95410.65870840028,1.0,Member State,BGD,ND,2020
BGD39,BGD23,Bangladesh,Mymensingh,54507.51062647405,1.0,Member State,BGD,ND,2020
BGD40,BGD23,Bangladesh,Rajshahi,100405.91818284163,1.0,Member State,BGD,ND,2020
BGD41,BGD23,Bangladesh,Rangpur,74348.52607457413,1.0,Member State,BGD,ND,2020
BGD42,BGD23,Bangladesh,Sylhet,50384.02725523295,1.0,Member State,BGD,ND,2020
BTN43,BTN31,Bhutan,Bumthang,99.98529239087546,1.0,Member State,BTN,ND,2020
BTN44,BTN31,Bhutan,Chhukha,2788.8522446157594,1.0,Member State,BTN,ND,2020
BTN45,BTN31,Bhutan,Dagana,97.83491454625197,1.0,Member State,BTN,ND,2020
BTN46,BTN31,Bhutan,Gasa,21.882485606630848,1.0,Member State,BTN,ND,2020
BTN47,BTN31,Bhutan,Haa,115.24533418002648,1.0,Member State,BTN,ND,2020
BTN48,BTN31,Bhutan,Lhuentse,93.97897562588203,1.0,Member State,BTN,ND,2020
BTN49,BTN31,Bhutan,Monggar,226.24056094804934,1.0,Member State,BTN,ND,2020
BTN50,BTN31,Bhutan,Paro,525.5054297129957,1.0,Member State,BTN,ND,2020
BTN51,BTN31,Bhutan,Pemagatshel,146.5965286862718,1.0,Member State,BTN,ND,2020
BTN52,BTN31,Bhutan,Punakha,179.80315019233225,1.0,Member State,BTN,ND,2020
BTN53,BTN31,Bhutan,Samdrupjongkhar,295.95876287833744,1.0,Member State,BTN,ND,2020
BTN54,BTN31,Bhutan,Samtse,909.2559672011319,1.0,Member State,BTN,ND,2020
BTN55,BTN31,Bhutan,Sarpang,141.76565200349964,1.0,Member State,BTN,ND,2020
BTN56,BTN31,Bhutan,Thimphu,1634.631415284237,1.0,Member State,BTN,ND,2020
BTN57,BTN31,Bhutan,Trashigang,509.9486194025063,1.0,Member State,BTN,ND,2020
BTN58,BTN31,Bhutan,Trashiyangtse,110.62731467254706,1.0,Member State,BTN,ND,2020
BTN59,BTN31,Bhutan,Trongsa,100.6633804584577,1.0,Member State,BTN,ND,2020
BTN60,BTN31,Bhutan,Tsirang,158.35700492230512,1.0,Member State,BTN,ND,2020
BTN61,BTN31,Bhutan,Wangduephodrang,565.5122137431163,1.0,Member State,BTN,ND,2020
BTN62,BTN31,Bhutan,Zhemgang,124.00442064464077,1.0,Member State,BTN,ND,2020
DS38520,DS38520,Arunchal Pradesh,Arunchal Pradesh,9099.847467635882,1.0,,,D,2020
