globalid,wb_status,sovereign,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_CODE,L2_NAME,Disputed,total_gdp,year,geo_level
{AAAA9BC6-27F6-4243-8EAC-A1CCE476639F},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG1,Arghanj Khwa,ND,20.209808405594192,2011,2.0
{1AE3DE04-C5FA-4395-B4B5-68C942493202},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG2,Argo,ND,139.03244503466465,2011,2.0
{24A79D11-F425-47BD-B57E-0AC3789933DC},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG3,Baharak,ND,36.7740914802438,2011,2.0
{53333010-0E8C-4E1C-9AFD-8D6AC95B6F32},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG4,Darayem,ND,67.37626967279509,2011,2.0
{7CE6FF3D-A1D9-49E8-9A93-6E0797BDE0AC},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG5,Darwaz,ND,34.9376608612201,2011,2.0
{90C42748-373A-4DF7-8142-C3B844125A10},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG6,Darwaz-e-Balla,ND,26.98805953920268,2011,2.0
{F657154D-E771-487A-91C3-A785D9622041},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG7,Faiz Abad,ND,66.85076699702826,2011,2.0
{BE7C3351-F56C-46E9-93DC-654E1F938D3C},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG8,Ishkashem,ND,23.55361884218549,2011,2.0
{3DA3013F-D89C-4366-8FB7-C3A03C00608B},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG9,Jorm,ND,77.8217749719974,2011,2.0
{F396D2CC-1158-4A1B-A25D-CF9CAFA7C8A3},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG10,Keshem,ND,144.71269377950736,2011,2.0
{80EA2376-C6FA-47FD-9659-0B875C9D475B},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG11,Khash,ND,72.29106242057888,2011,2.0
{C3AFDC6D-CAD6-4AEB-8188-B4B8E0CA5593},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG12,Khwahan,ND,22.47329694334277,2011,2.0
{5A3ABD21-1122-4FBE-A091-1E2BB8414B27},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG13,Kof Ab,ND,33.21777601468341,2011,2.0
{FC5D63A3-36A4-42C9-9CBF-1402B4AC3A35},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG14,Kohistan,ND,24.555962942973167,2011,2.0
{A4AC4FF5-E1E2-4F9E-A879-114B11B6F99E},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG15,Koran wa Monjan,ND,14.24842748837236,2011,2.0
{EA71ECC3-0609-4FD4-A594-2AFD14E68E77},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG16,Raghistan,ND,40.90873620716026,2011,2.0
{226CD659-B82D-4D6E-A455-FAD34564CFC4},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG17,Shahr-e-Buzorg,ND,79.96968535393665,2011,2.0
{532EA783-4B3D-479E-A98A-ECEBF190D138},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG18,Shaki,ND,37.70462156325192,2011,2.0
{92DF1052-5755-46DF-8B3F-4B6F8805E1BE},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG19,Shighnan,ND,72.2946285603671,2011,2.0
{6AA801B6-9AB6-4BC3-9318-0D6C7CC98C7D},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG20,Shuhada,ND,56.38196445220839,2011,2.0
{8C41D2FB-1846-453F-939E-5E9BB54531FB},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG21,Tagab,ND,43.4921664816613,2011,2.0
{4E6B4411-2374-4AC9-A37E-7F72FD4B388F},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG22,Teshkan,ND,54.74523431244586,2011,2.0
{9B8CEBA7-6A4C-4249-A24B-D408EDB8403B},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG23,Wakhan,ND,37.29267455982129,2011,2.0
{EF775A7A-8215-467E-A74F-10004CB38CE8},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG24,Warduj,ND,29.925307640533656,2011,2.0
