L1_CODE,L0_CODE,L0_NAME,L1_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,Badakhshan,1768.2404592316304,1.0,Member State,AFG,ND,2021
AFG10,AFG1,Afghanistan,Ghor,1230.4001419264096,1.0,Member State,AFG,ND,2021
AFG11,AFG1,Afghanistan,Hilmand,1474.0127914420195,1.0,Member State,AFG,ND,2021
AFG12,AFG1,Afghanistan,Hirat,7066.01583891065,1.0,Member State,AFG,ND,2021
AFG13,AFG1,Afghanistan,Jawzjan,803.615575636108,1.0,Member State,AFG,ND,2021
AFG14,AFG1,Afghanistan,Kabul,17099.40354560126,1.0,Member State,AFG,ND,2021
AFG15,AFG1,Afghanistan,Kandahar,3965.584412781133,1.0,Member State,AFG,ND,2021
AFG16,AFG1,Afghanistan,Kapisa,614.0606143410346,1.0,Member State,AFG,ND,2021
AFG17,AFG1,Afghanistan,Khost,1265.511155205323,1.0,Member State,AFG,ND,2021
AFG18,AFG1,Afghanistan,Kunar,783.2326883017905,1.0,Member State,AFG,ND,2021
AFG19,AFG1,Afghanistan,Kunduz,1517.0287650740647,1.0,Member State,AFG,ND,2021
AFG2,AFG1,Afghanistan,Badghis,879.5928784968421,1.0,Member State,AFG,ND,2021
AFG20,AFG1,Afghanistan,Laghman,794.3211917038312,1.0,Member State,AFG,ND,2021
AFG21,AFG1,Afghanistan,Logar,612.2067390296152,1.0,Member State,AFG,ND,2021
AFG22,AFG1,Afghanistan,Nangarhar,2808.4708248468537,1.0,Member State,AFG,ND,2021
AFG23,AFG1,Afghanistan,Nimroz,507.7267344895291,1.0,Member State,AFG,ND,2021
AFG24,AFG1,Afghanistan,Nuristan,209.7243915483899,1.0,Member State,AFG,ND,2021
AFG25,AFG1,Afghanistan,Paktika,657.526872543265,1.0,Member State,AFG,ND,2021
AFG26,AFG1,Afghanistan,Paktya,779.3146195772557,1.0,Member State,AFG,ND,2021
AFG27,AFG1,Afghanistan,Panjsher,229.55698615654788,1.0,Member State,AFG,ND,2021
AFG28,AFG1,Afghanistan,Parwan,1034.838188146768,1.0,Member State,AFG,ND,2021
AFG29,AFG1,Afghanistan,Samangan,618.0682839460419,1.0,Member State,AFG,ND,2021
AFG3,AFG1,Afghanistan,Baghlan,1386.672485288819,1.0,Member State,AFG,ND,2021
AFG30,AFG1,Afghanistan,Sar-e-Pul,743.1284161022659,1.0,Member State,AFG,ND,2021
AFG31,AFG1,Afghanistan,Takhar,1752.3590773916515,1.0,Member State,AFG,ND,2021
AFG32,AFG1,Afghanistan,Uruzgan,532.2431704241324,1.0,Member State,AFG,ND,2021
AFG33,AFG1,Afghanistan,Wardak,954.9848469102695,1.0,Member State,AFG,ND,2021
AFG34,AFG1,Afghanistan,Zabul,465.39326427228843,1.0,Member State,AFG,ND,2021
AFG4,AFG1,Afghanistan,Balkh,3739.1843334599916,1.0,Member State,AFG,ND,2021
AFG5,AFG1,Afghanistan,Bamyan,671.9457618707653,1.0,Member State,AFG,ND,2021
AFG6,AFG1,Afghanistan,Daykundi,677.7974528227887,1.0,Member State,AFG,ND,2021
AFG7,AFG1,Afghanistan,Farah,858.894927136998,1.0,Member State,AFG,ND,2021
AFG8,AFG1,Afghanistan,Faryab,1843.1506095444138,1.0,Member State,AFG,ND,2021
AFG9,AFG1,Afghanistan,Ghazni,1334.9439390849814,1.0,Member State,AFG,ND,2021
BGD35,BGD23,Bangladesh,Barishal,39927.96769841101,1.0,Member State,BGD,ND,2021
BGD36,BGD23,Bangladesh,Chattogram,169181.83360792155,1.0,Member State,BGD,ND,2021
BGD37,BGD23,Bangladesh,Dhaka,375476.20033882273,1.0,Member State,BGD,ND,2021
BGD38,BGD23,Bangladesh,Khulna,100736.50238529408,1.0,Member State,BGD,ND,2021
BGD39,BGD23,Bangladesh,Mymensingh,57732.00962210534,1.0,Member State,BGD,ND,2021
BGD40,BGD23,Bangladesh,Rajshahi,106655.10258273878,1.0,Member State,BGD,ND,2021
BGD41,BGD23,Bangladesh,Rangpur,79050.84265486697,1.0,Member State,BGD,ND,2021
BGD42,BGD23,Bangladesh,Sylhet,53842.40899680495,1.0,Member State,BGD,ND,2021
BTN43,BTN31,Bhutan,Bumthang,108.15503700188981,1.0,Member State,BTN,ND,2021
BTN44,BTN31,Bhutan,Chhukha,2830.7902337057635,1.0,Member State,BTN,ND,2021
BTN45,BTN31,Bhutan,Dagana,103.12578698412685,1.0,Member State,BTN,ND,2021
BTN46,BTN31,Bhutan,Gasa,23.20939946246684,1.0,Member State,BTN,ND,2021
BTN47,BTN31,Bhutan,Haa,111.70692766105758,1.0,Member State,BTN,ND,2021
BTN48,BTN31,Bhutan,Lhuentse,97.26291302908989,1.0,Member State,BTN,ND,2021
BTN49,BTN31,Bhutan,Monggar,253.0462525365496,1.0,Member State,BTN,ND,2021
BTN50,BTN31,Bhutan,Paro,553.6208401740719,1.0,Member State,BTN,ND,2021
BTN51,BTN31,Bhutan,Pemagatshel,154.23654141034163,1.0,Member State,BTN,ND,2021
BTN52,BTN31,Bhutan,Punakha,196.4517217337733,1.0,Member State,BTN,ND,2021
BTN53,BTN31,Bhutan,Samdrupjongkhar,305.458236337257,1.0,Member State,BTN,ND,2021
BTN54,BTN31,Bhutan,Samtse,962.6939280735648,1.0,Member State,BTN,ND,2021
BTN55,BTN31,Bhutan,Sarpang,145.39743468955962,1.0,Member State,BTN,ND,2021
BTN56,BTN31,Bhutan,Thimphu,1612.3482218117178,1.0,Member State,BTN,ND,2021
BTN57,BTN31,Bhutan,Trashigang,590.1575398891819,1.0,Member State,BTN,ND,2021
BTN58,BTN31,Bhutan,Trashiyangtse,136.62307936094422,1.0,Member State,BTN,ND,2021
BTN59,BTN31,Bhutan,Trongsa,107.31898921379492,1.0,Member State,BTN,ND,2021
