L0_CODE,L0_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,Afghanistan,79513.85441170169,0,Member State,AFG,ND,2019
BGD23,Bangladesh,888676.7882641421,0,Member State,BGD,ND,2019
BTN31,Bhutan,9824.50512411145,0,Member State,BTN,ND,2019
DS38520,Arunchal Pradesh,8663.47176273524,0,,,D,2019
DS38521,Disputed - India/Pakistan,2.5412286537239317,0,,,D,2019
DS38522,"Disputed Area, China-India-Nepal",0.3289389348005376,0,,,D,2019
DS38523,Disputed Area - China-India,0.15334706396004608,0,,,D,2019
DS38524,Disputed Area - China-India,4.323410592461766,0,,,D,2019
DS38525,Disputed Area - China-India,2.3141123395988643,0,,,D,2019
DS38526,Disputed Area - China-India,0.9158165209114579,0,,,D,2019
DS38527,Disputed - India/Pakistan,0.009812132707251052,0,,,D,2019
DS38528,Disputed - India/Pakistan,1.136239331842743e-05,0,,,D,2019
DS38529,Disputed - India/Pakistan,0.7878020297598902,0,,,D,2019
DS38530,Disputed - India/Pakistan,55.091195993162565,0,,,D,2019
IND115,India,8916875.64973157,0,Member State,IND,ND,2019
LKA231,Sri Lanka,253192.02751030447,0,Member State,LKA,ND,2019
MDV154,Maldives,27.623504755103085,0,Member State,MDV,ND,2019
NPL175,Nepal,109023.16542759778,0,Member State,NPL,ND,2019
PAK188,Pakistan,1136824.8313506283,0,Sovereignty unsettled,PAK,ND,2019
