L1_CODE,L0_CODE,L0_NAME,L1_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,Badakhshan,1391.5601071109886,1.0,Member State,AFG,ND,2010
AFG10,AFG1,Afghanistan,Ghor,1051.7226523708414,1.0,Member State,AFG,ND,2010
AFG11,AFG1,Afghanistan,Hilmand,1358.8225749195335,1.0,Member State,AFG,ND,2010
AFG12,AFG1,Afghanistan,Hirat,4496.541414478963,1.0,Member State,AFG,ND,2010
AFG13,AFG1,Afghanistan,Jawzjan,823.2241467551456,1.0,Member State,AFG,ND,2010
AFG14,AFG1,Afghanistan,Kabul,16771.846792129603,1.0,Member State,AFG,ND,2010
AFG15,AFG1,Afghanistan,Kandahar,3469.3664628009733,1.0,Member State,AFG,ND,2010
AFG16,AFG1,Afghanistan,Kapisa,657.0708369887146,1.0,Member State,AFG,ND,2010
AFG17,AFG1,Afghanistan,Khost,926.4668651483921,1.0,Member State,AFG,ND,2010
AFG18,AFG1,Afghanistan,Kunar,702.6448887083293,1.0,Member State,AFG,ND,2010
AFG19,AFG1,Afghanistan,Kunduz,2564.703476246492,1.0,Member State,AFG,ND,2010
AFG2,AFG1,Afghanistan,Badghis,687.0856201771832,1.0,Member State,AFG,ND,2010
AFG20,AFG1,Afghanistan,Laghman,666.4269616960912,1.0,Member State,AFG,ND,2010
AFG21,AFG1,Afghanistan,Logar,584.8370250003799,1.0,Member State,AFG,ND,2010
AFG22,AFG1,Afghanistan,Nangarhar,2633.7788392643206,1.0,Member State,AFG,ND,2010
AFG23,AFG1,Afghanistan,Nimroz,491.51786685594647,1.0,Member State,AFG,ND,2010
AFG24,AFG1,Afghanistan,Nuristan,199.35685115838405,1.0,Member State,AFG,ND,2010
AFG25,AFG1,Afghanistan,Paktika,671.103741651426,1.0,Member State,AFG,ND,2010
AFG26,AFG1,Afghanistan,Paktya,744.9445281438606,1.0,Member State,AFG,ND,2010
AFG27,AFG1,Afghanistan,Panjsher,250.98768270373435,1.0,Member State,AFG,ND,2010
AFG28,AFG1,Afghanistan,Parwan,1200.1688234073736,1.0,Member State,AFG,ND,2010
AFG29,AFG1,Afghanistan,Samangan,598.5066801478622,1.0,Member State,AFG,ND,2010
AFG3,AFG1,Afghanistan,Baghlan,1541.3329643426523,1.0,Member State,AFG,ND,2010
AFG30,AFG1,Afghanistan,Sar-e-Pul,932.5046081696913,1.0,Member State,AFG,ND,2010
