L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,20.209808405594192,2.0,Member State,AFG,ND,2011
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,144.71269377950736,2.0,Member State,AFG,ND,2011
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,65.10820722989142,2.0,Member State,AFG,ND,2011
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,106.31621331663341,2.0,Member State,AFG,ND,2011
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,370.5834162777797,2.0,Member State,AFG,ND,2011
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,54.55924741211152,2.0,Member State,AFG,ND,2011
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,190.3234102954769,2.0,Member State,AFG,ND,2011
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,45.36061654778504,2.0,Member State,AFG,ND,2011
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,138.5322383959154,2.0,Member State,AFG,ND,2011
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,38.159333388352486,2.0,Member State,AFG,ND,2011
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,43.45094557610145,2.0,Member State,AFG,ND,2011
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,194.79624949590925,2.0,Member State,AFG,ND,2011
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,72.29106242057888,2.0,Member State,AFG,ND,2011
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,86.25260814252655,2.0,Member State,AFG,ND,2011
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,101.36097823187266,2.0,Member State,AFG,ND,2011
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,250.62411065580778,2.0,Member State,AFG,ND,2011
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,57.93749268797604,2.0,Member State,AFG,ND,2011
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,53.42553297940239,2.0,Member State,AFG,ND,2011
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,222.83796463438185,2.0,Member State,AFG,ND,2011
AFG116,AFG1,Afghanistan,AFG9,Ghazni,Khwaja Umari,29.250233020011944,2.0,Member State,AFG,ND,2011
AFG117,AFG1,Afghanistan,AFG9,Ghazni,Malestan,116.16445309905366,2.0,Member State,AFG,ND,2011
AFG118,AFG1,Afghanistan,AFG9,Ghazni,Muqur,82.9452669334107,2.0,Member State,AFG,ND,2011
AFG119,AFG1,Afghanistan,AFG9,Ghazni,Nawa,36.32439829859904,2.0,Member State,AFG,ND,2011
AFG12,AFG1,Afghanistan,AFG1,Badakhshan,Khwahan,22.47329694334277,2.0,Member State,AFG,ND,2011
AFG120,AFG1,Afghanistan,AFG9,Ghazni,Nawur,288.67102649979074,2.0,Member State,AFG,ND,2011
AFG121,AFG1,Afghanistan,AFG9,Ghazni,Qarabagh,240.3306115812248,2.0,Member State,AFG,ND,2011
AFG122,AFG1,Afghanistan,AFG9,Ghazni,Rashidan,25.75016343772207,2.0,Member State,AFG,ND,2011
AFG123,AFG1,Afghanistan,AFG9,Ghazni,Waghaz,60.33128219214106,2.0,Member State,AFG,ND,2011
AFG124,AFG1,Afghanistan,AFG9,Ghazni,Wali Muhammad-e- Shahid,50.939827239496466,2.0,Member State,AFG,ND,2011
AFG125,AFG1,Afghanistan,AFG9,Ghazni,Zana Khan,16.67143028080193,2.0,Member State,AFG,ND,2011
AFG126,AFG1,Afghanistan,AFG10,Ghor,Chaghcharan,239.47567402014533,2.0,Member State,AFG,ND,2011
AFG127,AFG1,Afghanistan,AFG10,Ghor,Chahar Sadra,43.833398106270174,2.0,Member State,AFG,ND,2011
AFG128,AFG1,Afghanistan,AFG10,Ghor,Dawlat Yar,57.387301496041395,2.0,Member State,AFG,ND,2011
AFG129,AFG1,Afghanistan,AFG10,Ghor,Du Lina,48.81576506995486,2.0,Member State,AFG,ND,2011
AFG13,AFG1,Afghanistan,AFG1,Badakhshan,Kof Ab,33.21777601468341,2.0,Member State,AFG,ND,2011
AFG130,AFG1,Afghanistan,AFG10,Ghor,Lal Wa Sarjangal,132.00073677342334,2.0,Member State,AFG,ND,2011
AFG131,AFG1,Afghanistan,AFG10,Ghor,Pasaband,120.76432095846572,2.0,Member State,AFG,ND,2011
AFG132,AFG1,Afghanistan,AFG10,Ghor,Saghar,53.7513914333553,2.0,Member State,AFG,ND,2011
AFG133,AFG1,Afghanistan,AFG10,Ghor,Shahrak,129.10781320961473,2.0,Member State,AFG,ND,2011
AFG134,AFG1,Afghanistan,AFG10,Ghor,Taywarah,152.17148536862243,2.0,Member State,AFG,ND,2011
AFG135,AFG1,Afghanistan,AFG10,Ghor,Tolak,93.93842410206243,2.0,Member State,AFG,ND,2011
AFG136,AFG1,Afghanistan,AFG11,Hilmand,Baghran,137.02942194931506,2.0,Member State,AFG,ND,2011
AFG137,AFG1,Afghanistan,AFG11,Hilmand,Deh shu,21.338560328481705,2.0,Member State,AFG,ND,2011
AFG138,AFG1,Afghanistan,AFG11,Hilmand,Garm Ser,125.33185035460856,2.0,Member State,AFG,ND,2011
AFG139,AFG1,Afghanistan,AFG11,Hilmand,Kajaki,102.67550998570405,2.0,Member State,AFG,ND,2011
AFG14,AFG1,Afghanistan,AFG1,Badakhshan,Kohistan,24.555962942973167,2.0,Member State,AFG,ND,2011
AFG140,AFG1,Afghanistan,AFG11,Hilmand,Lashkar Gah,253.59213193254027,2.0,Member State,AFG,ND,2011
AFG141,AFG1,Afghanistan,AFG11,Hilmand,Musa Qaleh,89.82372910974492,2.0,Member State,AFG,ND,2011
