L0_CODE,L0_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,Afghanistan,65096.006878037355,0,Member State,AFG,ND,2012
BGD23,Bangladesh,561986.0004106942,0,Member State,BGD,ND,2012
BTN31,Bhutan,6947.909416096741,0,Member State,BTN,ND,2012
DS38520,Arunchal Pradesh,5093.145481626317,0,,,D,2012
DS38521,Disputed - India/Pakistan,1.9334518323920165,0,,,D,2012
DS38522,"Disputed Area, China-India-Nepal",0.24965859926672856,0,,,D,2012
DS38523,Disputed Area - China-India,0.15251934663932226,0,,,D,2012
DS38524,Disputed Area - China-India,3.6620092628659564,0,,,D,2012
DS38525,Disputed Area - China-India,1.9326680639064322,0,,,D,2012
DS38526,Disputed Area - China-India,0.9015964910711829,0,,,D,2012
DS38527,Disputed - India/Pakistan,0.006953677536863059,0,,,D,2012
DS38528,Disputed - India/Pakistan,8.052318648825852e-06,0,,,D,2012
DS38529,Disputed - India/Pakistan,0.7480860048888512,0,,,D,2012
DS38530,Disputed - India/Pakistan,46.16621399617188,0,,,D,2012
IND115,India,5645095.607134423,0,Member State,IND,ND,2012
LKA231,Sri Lanka,192392.43804843884,0,Member State,LKA,ND,2012
MDV154,Maldives,19.385515691156083,0,Member State,MDV,ND,2012
NPL175,Nepal,75841.82049533312,0,Member State,NPL,ND,2012
PAK188,Pakistan,818638.7277397694,0,Sovereignty unsettled,PAK,ND,2012
