L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,27.786936734705428,2.0,Member State,AFG,ND,2017
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,204.66251104927346,2.0,Member State,AFG,ND,2017
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,87.06049106399146,2.0,Member State,AFG,ND,2017
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,132.3785948894398,2.0,Member State,AFG,ND,2017
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,479.7925067375342,2.0,Member State,AFG,ND,2017
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,72.1556859793173,2.0,Member State,AFG,ND,2017
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,260.6843207079216,2.0,Member State,AFG,ND,2017
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,60.08941838229288,2.0,Member State,AFG,ND,2017
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,254.84354106017145,2.0,Member State,AFG,ND,2017
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,37.056372786743424,2.0,Member State,AFG,ND,2017
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,40.3204040189176,2.0,Member State,AFG,ND,2017
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,191.29937855679458,2.0,Member State,AFG,ND,2017
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,105.17132656288527,2.0,Member State,AFG,ND,2017
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,81.39624813135366,2.0,Member State,AFG,ND,2017
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,108.48452922403762,2.0,Member State,AFG,ND,2017
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,209.77402487061985,2.0,Member State,AFG,ND,2017
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,53.09163593284784,2.0,Member State,AFG,ND,2017
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,53.76139105356353,2.0,Member State,AFG,ND,2017
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,279.8998553433656,2.0,Member State,AFG,ND,2017
AFG116,AFG1,Afghanistan,AFG9,Ghazni,Khwaja Umari,37.45025386246087,2.0,Member State,AFG,ND,2017
AFG117,AFG1,Afghanistan,AFG9,Ghazni,Malestan,106.45323074421141,2.0,Member State,AFG,ND,2017
AFG118,AFG1,Afghanistan,AFG9,Ghazni,Muqur,79.09677695380134,2.0,Member State,AFG,ND,2017
AFG119,AFG1,Afghanistan,AFG9,Ghazni,Nawa,35.28387103661071,2.0,Member State,AFG,ND,2017
AFG12,AFG1,Afghanistan,AFG1,Badakhshan,Khwahan,34.95161098701375,2.0,Member State,AFG,ND,2017
AFG120,AFG1,Afghanistan,AFG9,Ghazni,Nawur,320.70625292975257,2.0,Member State,AFG,ND,2017
AFG121,AFG1,Afghanistan,AFG9,Ghazni,Qarabagh,227.9195193673806,2.0,Member State,AFG,ND,2017
AFG122,AFG1,Afghanistan,AFG9,Ghazni,Rashidan,25.256036433878418,2.0,Member State,AFG,ND,2017
AFG123,AFG1,Afghanistan,AFG9,Ghazni,Waghaz,59.30330850461423,2.0,Member State,AFG,ND,2017
AFG124,AFG1,Afghanistan,AFG9,Ghazni,Wali Muhammad-e- Shahid,45.20661114024943,2.0,Member State,AFG,ND,2017
AFG125,AFG1,Afghanistan,AFG9,Ghazni,Zana Khan,16.086635429123955,2.0,Member State,AFG,ND,2017
AFG126,AFG1,Afghanistan,AFG10,Ghor,Chaghcharan,323.23367127918596,2.0,Member State,AFG,ND,2017
AFG127,AFG1,Afghanistan,AFG10,Ghor,Chahar Sadra,61.092464815940914,2.0,Member State,AFG,ND,2017
AFG128,AFG1,Afghanistan,AFG10,Ghor,Dawlat Yar,77.63418660695582,2.0,Member State,AFG,ND,2017
AFG129,AFG1,Afghanistan,AFG10,Ghor,Du Lina,64.35791262951757,2.0,Member State,AFG,ND,2017
AFG13,AFG1,Afghanistan,AFG1,Badakhshan,Kof Ab,51.7440943281036,2.0,Member State,AFG,ND,2017
AFG130,AFG1,Afghanistan,AFG10,Ghor,Lal Wa Sarjangal,190.49586621947137,2.0,Member State,AFG,ND,2017
AFG131,AFG1,Afghanistan,AFG10,Ghor,Pasaband,163.19690565704414,2.0,Member State,AFG,ND,2017
AFG132,AFG1,Afghanistan,AFG10,Ghor,Saghar,68.52032730716454,2.0,Member State,AFG,ND,2017
AFG133,AFG1,Afghanistan,AFG10,Ghor,Shahrak,170.5163048723644,2.0,Member State,AFG,ND,2017
