L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,26.85269639641124,2.0,Member State,AFG,ND,2016
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,198.15188798813006,2.0,Member State,AFG,ND,2016
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,85.35354920791902,2.0,Member State,AFG,ND,2016
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,127.52864150664661,2.0,Member State,AFG,ND,2016
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,465.0998178180624,2.0,Member State,AFG,ND,2016
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,70.13206378664303,2.0,Member State,AFG,ND,2016
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,252.8990789077363,2.0,Member State,AFG,ND,2016
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,58.35510046695292,2.0,Member State,AFG,ND,2016
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,247.60328154559096,2.0,Member State,AFG,ND,2016
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,38.065457716280484,2.0,Member State,AFG,ND,2016
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,41.24018373950469,2.0,Member State,AFG,ND,2016
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,198.29309010973137,2.0,Member State,AFG,ND,2016
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,98.55905737552222,2.0,Member State,AFG,ND,2016
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,87.46531182649247,2.0,Member State,AFG,ND,2016
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,113.29065630559393,2.0,Member State,AFG,ND,2016
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,245.290997391021,2.0,Member State,AFG,ND,2016
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,54.85503588695737,2.0,Member State,AFG,ND,2016
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,54.42815978226049,2.0,Member State,AFG,ND,2016
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,293.73538775352034,2.0,Member State,AFG,ND,2016
AFG116,AFG1,Afghanistan,AFG9,Ghazni,Khwaja Umari,36.38526060359754,2.0,Member State,AFG,ND,2016
AFG117,AFG1,Afghanistan,AFG9,Ghazni,Malestan,116.10339818182014,2.0,Member State,AFG,ND,2016
AFG118,AFG1,Afghanistan,AFG9,Ghazni,Muqur,81.72173536996893,2.0,Member State,AFG,ND,2016
AFG119,AFG1,Afghanistan,AFG9,Ghazni,Nawa,36.19854077208165,2.0,Member State,AFG,ND,2016
AFG12,AFG1,Afghanistan,AFG1,Badakhshan,Khwahan,33.67587216791493,2.0,Member State,AFG,ND,2016
AFG120,AFG1,Afghanistan,AFG9,Ghazni,Nawur,320.7112791521144,2.0,Member State,AFG,ND,2016
AFG121,AFG1,Afghanistan,AFG9,Ghazni,Qarabagh,235.57033155242985,2.0,Member State,AFG,ND,2016
AFG122,AFG1,Afghanistan,AFG9,Ghazni,Rashidan,25.854680676636903,2.0,Member State,AFG,ND,2016
AFG123,AFG1,Afghanistan,AFG9,Ghazni,Waghaz,61.2471916298727,2.0,Member State,AFG,ND,2016
AFG124,AFG1,Afghanistan,AFG9,Ghazni,Wali Muhammad-e- Shahid,50.505263645724874,2.0,Member State,AFG,ND,2016
AFG125,AFG1,Afghanistan,AFG9,Ghazni,Zana Khan,16.276864786799674,2.0,Member State,AFG,ND,2016
AFG126,AFG1,Afghanistan,AFG10,Ghor,Chaghcharan,320.87722794378107,2.0,Member State,AFG,ND,2016
AFG127,AFG1,Afghanistan,AFG10,Ghor,Chahar Sadra,60.10613898018563,2.0,Member State,AFG,ND,2016
AFG128,AFG1,Afghanistan,AFG10,Ghor,Dawlat Yar,77.06578845105761,2.0,Member State,AFG,ND,2016
AFG129,AFG1,Afghanistan,AFG10,Ghor,Du Lina,63.53924850041338,2.0,Member State,AFG,ND,2016
AFG13,AFG1,Afghanistan,AFG1,Badakhshan,Kof Ab,49.8329751373497,2.0,Member State,AFG,ND,2016
AFG130,AFG1,Afghanistan,AFG10,Ghor,Lal Wa Sarjangal,185.59939095300328,2.0,Member State,AFG,ND,2016
AFG131,AFG1,Afghanistan,AFG10,Ghor,Pasaband,158.26050276628948,2.0,Member State,AFG,ND,2016
AFG132,AFG1,Afghanistan,AFG10,Ghor,Saghar,67.03884521331143,2.0,Member State,AFG,ND,2016
AFG133,AFG1,Afghanistan,AFG10,Ghor,Shahrak,168.2491789872797,2.0,Member State,AFG,ND,2016
AFG134,AFG1,Afghanistan,AFG10,Ghor,Taywarah,195.23755035765373,2.0,Member State,AFG,ND,2016
AFG135,AFG1,Afghanistan,AFG10,Ghor,Tolak,99.52206288845395,2.0,Member State,AFG,ND,2016
AFG136,AFG1,Afghanistan,AFG11,Hilmand,Baghran,180.3192195716156,2.0,Member State,AFG,ND,2016
AFG137,AFG1,Afghanistan,AFG11,Hilmand,Deh shu,30.339089753109874,2.0,Member State,AFG,ND,2016
AFG138,AFG1,Afghanistan,AFG11,Hilmand,Garm Ser,193.6962532794028,2.0,Member State,AFG,ND,2016
AFG139,AFG1,Afghanistan,AFG11,Hilmand,Kajaki,135.25005820195528,2.0,Member State,AFG,ND,2016
AFG14,AFG1,Afghanistan,AFG1,Badakhshan,Kohistan,33.56991189813317,2.0,Member State,AFG,ND,2016
AFG140,AFG1,Afghanistan,AFG11,Hilmand,Lashkar Gah,322.8492762024858,2.0,Member State,AFG,ND,2016
AFG141,AFG1,Afghanistan,AFG11,Hilmand,Musa Qaleh,118.36799694748309,2.0,Member State,AFG,ND,2016
AFG142,AFG1,Afghanistan,AFG11,Hilmand,Nad-e-Ali,219.98625853215918,2.0,Member State,AFG,ND,2016
AFG143,AFG1,Afghanistan,AFG11,Hilmand,Nahr-e-Saraj,219.59319178555435,2.0,Member State,AFG,ND,2016
AFG144,AFG1,Afghanistan,AFG11,Hilmand,Naw Zad,96.53499091952318,2.0,Member State,AFG,ND,2016
AFG145,AFG1,Afghanistan,AFG11,Hilmand,Nawa-e-Barak Zaiy,149.56829088239152,2.0,Member State,AFG,ND,2016
AFG146,AFG1,Afghanistan,AFG11,Hilmand,Reg(khan Neshin),11.995428888916344,2.0,Member State,AFG,ND,2016
