L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,19.617307643694538,2.0,Member State,AFG,ND,2010
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,142.16477261618056,2.0,Member State,AFG,ND,2010
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,65.06313675605865,2.0,Member State,AFG,ND,2010
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,106.80032506367833,2.0,Member State,AFG,ND,2010
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,370.2434632951788,2.0,Member State,AFG,ND,2010
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,54.06234632486614,2.0,Member State,AFG,ND,2010
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,188.64206418736714,2.0,Member State,AFG,ND,2010
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,44.80574631928781,2.0,Member State,AFG,ND,2010
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,136.54347790122702,2.0,Member State,AFG,ND,2010
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,41.00299141707999,2.0,Member State,AFG,ND,2010
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,45.7803107898143,2.0,Member State,AFG,ND,2010
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,206.3887536798872,2.0,Member State,AFG,ND,2010
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,70.22837864026893,2.0,Member State,AFG,ND,2010
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,90.91073011475719,2.0,Member State,AFG,ND,2010
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,106.07415516872123,2.0,Member State,AFG,ND,2010
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,262.36955806954523,2.0,Member State,AFG,ND,2010
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,63.58457379221146,2.0,Member State,AFG,ND,2010
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,56.56090614572293,2.0,Member State,AFG,ND,2010
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,231.17305638996578,2.0,Member State,AFG,ND,2010
AFG116,AFG1,Afghanistan,AFG9,Ghazni,Khwaja Umari,29.78131483654729,2.0,Member State,AFG,ND,2010
AFG117,AFG1,Afghanistan,AFG9,Ghazni,Malestan,122.00735981262441,2.0,Member State,AFG,ND,2010
AFG118,AFG1,Afghanistan,AFG9,Ghazni,Muqur,87.47607133163936,2.0,Member State,AFG,ND,2010
AFG119,AFG1,Afghanistan,AFG9,Ghazni,Nawa,39.41631816116637,2.0,Member State,AFG,ND,2010
AFG12,AFG1,Afghanistan,AFG1,Badakhshan,Khwahan,22.023471530277046,2.0,Member State,AFG,ND,2010
AFG120,AFG1,Afghanistan,AFG9,Ghazni,Nawur,293.92852109422665,2.0,Member State,AFG,ND,2010
AFG121,AFG1,Afghanistan,AFG9,Ghazni,Qarabagh,250.89497797866488,2.0,Member State,AFG,ND,2010
AFG122,AFG1,Afghanistan,AFG9,Ghazni,Rashidan,27.29386137968325,2.0,Member State,AFG,ND,2010
AFG123,AFG1,Afghanistan,AFG9,Ghazni,Waghaz,63.680760197462185,2.0,Member State,AFG,ND,2010
AFG124,AFG1,Afghanistan,AFG9,Ghazni,Wali Muhammad-e- Shahid,53.48903269857393,2.0,Member State,AFG,ND,2010
AFG125,AFG1,Afghanistan,AFG9,Ghazni,Zana Khan,17.656466757501857,2.0,Member State,AFG,ND,2010
AFG126,AFG1,Afghanistan,AFG10,Ghor,Chaghcharan,237.92517118529324,2.0,Member State,AFG,ND,2010
AFG127,AFG1,Afghanistan,AFG10,Ghor,Chahar Sadra,43.359771331875706,2.0,Member State,AFG,ND,2010
AFG128,AFG1,Afghanistan,AFG10,Ghor,Dawlat Yar,56.98963609739952,2.0,Member State,AFG,ND,2010
AFG129,AFG1,Afghanistan,AFG10,Ghor,Du Lina,47.823988414619336,2.0,Member State,AFG,ND,2010
AFG13,AFG1,Afghanistan,AFG1,Badakhshan,Kof Ab,32.55173267492827,2.0,Member State,AFG,ND,2010
AFG130,AFG1,Afghanistan,AFG10,Ghor,Lal Wa Sarjangal,130.86606519080925,2.0,Member State,AFG,ND,2010
AFG131,AFG1,Afghanistan,AFG10,Ghor,Pasaband,115.73314609619533,2.0,Member State,AFG,ND,2010
AFG132,AFG1,Afghanistan,AFG10,Ghor,Saghar,52.520573956290384,2.0,Member State,AFG,ND,2010
AFG133,AFG1,Afghanistan,AFG10,Ghor,Shahrak,126.43400173683236,2.0,Member State,AFG,ND,2010
AFG134,AFG1,Afghanistan,AFG10,Ghor,Taywarah,148.11049316298084,2.0,Member State,AFG,ND,2010
AFG135,AFG1,Afghanistan,AFG10,Ghor,Tolak,91.9598051985454,2.0,Member State,AFG,ND,2010
AFG136,AFG1,Afghanistan,AFG11,Hilmand,Baghran,138.97472647447532,2.0,Member State,AFG,ND,2010
AFG137,AFG1,Afghanistan,AFG11,Hilmand,Deh shu,21.499793340634444,2.0,Member State,AFG,ND,2010
AFG138,AFG1,Afghanistan,AFG11,Hilmand,Garm Ser,125.09908724335898,2.0,Member State,AFG,ND,2010
AFG139,AFG1,Afghanistan,AFG11,Hilmand,Kajaki,102.52940732839326,2.0,Member State,AFG,ND,2010
AFG14,AFG1,Afghanistan,AFG1,Badakhshan,Kohistan,23.934260105099312,2.0,Member State,AFG,ND,2010
AFG140,AFG1,Afghanistan,AFG11,Hilmand,Lashkar Gah,255.18952154733927,2.0,Member State,AFG,ND,2010
AFG141,AFG1,Afghanistan,AFG11,Hilmand,Musa Qaleh,89.26910336966358,2.0,Member State,AFG,ND,2010
AFG142,AFG1,Afghanistan,AFG11,Hilmand,Nad-e-Ali,158.05999725806072,2.0,Member State,AFG,ND,2010
AFG143,AFG1,Afghanistan,AFG11,Hilmand,Nahr-e-Saraj,181.02656072774272,2.0,Member State,AFG,ND,2010
AFG144,AFG1,Afghanistan,AFG11,Hilmand,Naw Zad,74.33672229419768,2.0,Member State,AFG,ND,2010
AFG145,AFG1,Afghanistan,AFG11,Hilmand,Nawa-e-Barak Zaiy,112.58328350849958,2.0,Member State,AFG,ND,2010
AFG146,AFG1,Afghanistan,AFG11,Hilmand,Reg(khan Neshin),8.614658991748847,2.0,Member State,AFG,ND,2010
AFG147,AFG1,Afghanistan,AFG11,Hilmand,Sangin,71.64104450309384,2.0,Member State,AFG,ND,2010
AFG148,AFG1,Afghanistan,AFG11,Hilmand,Wa Sher,19.998668332325295,2.0,Member State,AFG,ND,2010
AFG149,AFG1,Afghanistan,AFG12,Hirat,Adraskan,58.650139804157085,2.0,Member State,AFG,ND,2010
AFG15,AFG1,Afghanistan,AFG1,Badakhshan,Koran wa Monjan,14.017906494512284,2.0,Member State,AFG,ND,2010
AFG150,AFG1,Afghanistan,AFG12,Hirat,Chisht-e-Sharif,23.00940118170132,2.0,Member State,AFG,ND,2010
