L1_CODE,L0_CODE,L0_NAME,L1_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,Badakhshan,1725.5005732579027,1.0,Member State,AFG,ND,2013
AFG10,AFG1,Afghanistan,Ghor,1278.988014052853,1.0,Member State,AFG,ND,2013
AFG11,AFG1,Afghanistan,Hilmand,1717.2074726572978,1.0,Member State,AFG,ND,2013
AFG12,AFG1,Afghanistan,Hirat,6034.240143496447,1.0,Member State,AFG,ND,2013
AFG13,AFG1,Afghanistan,Jawzjan,916.5886074836684,1.0,Member State,AFG,ND,2013
AFG14,AFG1,Afghanistan,Kabul,19438.45965052212,1.0,Member State,AFG,ND,2013
AFG15,AFG1,Afghanistan,Kandahar,4285.305682871422,1.0,Member State,AFG,ND,2013
AFG16,AFG1,Afghanistan,Kapisa,753.2555758413955,1.0,Member State,AFG,ND,2013
AFG17,AFG1,Afghanistan,Khost,1179.0670401999591,1.0,Member State,AFG,ND,2013
AFG18,AFG1,Afghanistan,Kunar,845.4389869377032,1.0,Member State,AFG,ND,2013
AFG19,AFG1,Afghanistan,Kunduz,2872.5445923768743,1.0,Member State,AFG,ND,2013
AFG2,AFG1,Afghanistan,Badghis,875.9783815602467,1.0,Member State,AFG,ND,2013
AFG20,AFG1,Afghanistan,Laghman,833.1810817460816,1.0,Member State,AFG,ND,2013
AFG21,AFG1,Afghanistan,Logar,709.6092753312474,1.0,Member State,AFG,ND,2013
AFG22,AFG1,Afghanistan,Nangarhar,3314.3027572902083,1.0,Member State,AFG,ND,2013
AFG23,AFG1,Afghanistan,Nimroz,542.0354866007316,1.0,Member State,AFG,ND,2013
AFG24,AFG1,Afghanistan,Nuristan,236.58008424332596,1.0,Member State,AFG,ND,2013
AFG25,AFG1,Afghanistan,Paktika,771.5789625397996,1.0,Member State,AFG,ND,2013
AFG26,AFG1,Afghanistan,Paktya,882.447684658828,1.0,Member State,AFG,ND,2013
AFG27,AFG1,Afghanistan,Panjsher,284.3349149218104,1.0,Member State,AFG,ND,2013
AFG28,AFG1,Afghanistan,Parwan,1402.0797320774554,1.0,Member State,AFG,ND,2013
AFG29,AFG1,Afghanistan,Samangan,692.905368526367,1.0,Member State,AFG,ND,2013
AFG3,AFG1,Afghanistan,Baghlan,1763.299131841555,1.0,Member State,AFG,ND,2013
AFG30,AFG1,Afghanistan,Sar-e-Pul,1116.5698322599128,1.0,Member State,AFG,ND,2013
AFG31,AFG1,Afghanistan,Takhar,1823.5601508235284,1.0,Member State,AFG,ND,2013
AFG32,AFG1,Afghanistan,Uruzgan,600.4582185909693,1.0,Member State,AFG,ND,2013
AFG33,AFG1,Afghanistan,Wardak,1030.3709747847429,1.0,Member State,AFG,ND,2013
AFG34,AFG1,Afghanistan,Zabul,549.7501784800686,1.0,Member State,AFG,ND,2013
AFG4,AFG1,Afghanistan,Balkh,4074.817094141596,1.0,Member State,AFG,ND,2013
AFG5,AFG1,Afghanistan,Bamyan,742.5333154200454,1.0,Member State,AFG,ND,2013
AFG6,AFG1,Afghanistan,Daykundi,766.8684985412261,1.0,Member State,AFG,ND,2013
AFG7,AFG1,Afghanistan,Farah,811.858395386904,1.0,Member State,AFG,ND,2013
AFG8,AFG1,Afghanistan,Faryab,1731.2288774457338,1.0,Member State,AFG,ND,2013
AFG9,AFG1,Afghanistan,Ghazni,2173.3744684170397,1.0,Member State,AFG,ND,2013
BGD35,BGD23,Bangladesh,Barishal,27428.234751271844,1.0,Member State,BGD,ND,2013
BGD36,BGD23,Bangladesh,Chattogram,105863.8632341891,1.0,Member State,BGD,ND,2013
BGD37,BGD23,Bangladesh,Dhaka,207918.9100638264,1.0,Member State,BGD,ND,2013
BGD38,BGD23,Bangladesh,Khulna,67410.82793696919,1.0,Member State,BGD,ND,2013
BGD39,BGD23,Bangladesh,Mymensingh,37123.44230969058,1.0,Member State,BGD,ND,2013
BGD40,BGD23,Bangladesh,Rajshahi,67950.99016800924,1.0,Member State,BGD,ND,2013
BGD41,BGD23,Bangladesh,Rangpur,49972.955743705956,1.0,Member State,BGD,ND,2013
BGD42,BGD23,Bangladesh,Sylhet,31960.249456169226,1.0,Member State,BGD,ND,2013
BTN43,BTN31,Bhutan,Bumthang,78.64416622694071,1.0,Member State,BTN,ND,2013
BTN44,BTN31,Bhutan,Chhukha,2249.2527661923455,1.0,Member State,BTN,ND,2013
