L0_CODE,L0_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,Afghanistan,57644.544790044914,0,Member State,AFG,ND,2010
BGD23,Bangladesh,495919.0146526889,0,Member State,BGD,ND,2010
BTN31,Bhutan,6145.833696358673,0,Member State,BTN,ND,2010
DS38520,Arunchal Pradesh,4504.533239756641,0,,,D,2010
DS38521,Disputed - India/Pakistan,1.5403022285223755,0,,,D,2010
DS38522,"Disputed Area, China-India-Nepal",0.2431834257234035,0,,,D,2010
DS38523,Disputed Area - China-India,0.15078186667197477,0,,,D,2010
DS38524,Disputed Area - China-India,3.739439973553157,0,,,D,2010
DS38525,Disputed Area - China-India,1.7104850424874212,0,,,D,2010
DS38526,Disputed Area - China-India,0.8467531304786515,0,,,D,2010
DS38527,Disputed - India/Pakistan,0.006625937019180987,0,,,D,2010
DS38528,Disputed - India/Pakistan,7.672797011747216e-06,0,,,D,2010
DS38529,Disputed - India/Pakistan,0.7057136944958913,0,,,D,2010
DS38530,Disputed - India/Pakistan,37.3272132962856,0,,,D,2010
IND115,India,5085779.860310101,0,Member State,IND,ND,2010
LKA231,Sri Lanka,162555.1856859094,0,Member State,LKA,ND,2010
MDV154,Maldives,17.52144903785251,0,Member State,MDV,ND,2010
NPL175,Nepal,70040.94390070875,0,Member State,NPL,ND,2010
PAK188,Pakistan,778191.4929428953,0,Sovereignty unsettled,PAK,ND,2010
