L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,30.274252346214492,2.0,Member State,AFG,ND,2019
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,218.26653140147616,2.0,Member State,AFG,ND,2019
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,90.5774287013767,2.0,Member State,AFG,ND,2019
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,139.03958086391336,2.0,Member State,AFG,ND,2019
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,503.85590779504446,2.0,Member State,AFG,ND,2019
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,74.60140094604847,2.0,Member State,AFG,ND,2019
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,273.8424108193564,2.0,Member State,AFG,ND,2019
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,62.89685872441193,2.0,Member State,AFG,ND,2019
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,264.89711987258676,2.0,Member State,AFG,ND,2019
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,35.436399909503514,2.0,Member State,AFG,ND,2019
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,39.46056053933335,2.0,Member State,AFG,ND,2019
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,180.70967819822062,2.0,Member State,AFG,ND,2019
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,115.62043047785293,2.0,Member State,AFG,ND,2019
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,77.33951150404917,2.0,Member State,AFG,ND,2019
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,101.21363198387442,2.0,Member State,AFG,ND,2019
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,195.25231296500007,2.0,Member State,AFG,ND,2019
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,50.32250376020453,2.0,Member State,AFG,ND,2019
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,50.7551561584575,2.0,Member State,AFG,ND,2019
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,260.3125672212331,2.0,Member State,AFG,ND,2019
AFG116,AFG1,Afghanistan,AFG9,Ghazni,Khwaja Umari,39.637348180020815,2.0,Member State,AFG,ND,2019
AFG117,AFG1,Afghanistan,AFG9,Ghazni,Malestan,97.47400664690005,2.0,Member State,AFG,ND,2019
AFG118,AFG1,Afghanistan,AFG9,Ghazni,Muqur,73.60126268508878,2.0,Member State,AFG,ND,2019
AFG119,AFG1,Afghanistan,AFG9,Ghazni,Nawa,33.64869140730413,2.0,Member State,AFG,ND,2019
AFG12,AFG1,Afghanistan,AFG1,Badakhshan,Khwahan,37.68109149789032,2.0,Member State,AFG,ND,2019
AFG120,AFG1,Afghanistan,AFG9,Ghazni,Nawur,318.962764971413,2.0,Member State,AFG,ND,2019
AFG121,AFG1,Afghanistan,AFG9,Ghazni,Qarabagh,213.8507225930223,2.0,Member State,AFG,ND,2019
AFG122,AFG1,Afghanistan,AFG9,Ghazni,Rashidan,23.25452944329751,2.0,Member State,AFG,ND,2019
AFG123,AFG1,Afghanistan,AFG9,Ghazni,Waghaz,56.054519234586095,2.0,Member State,AFG,ND,2019
AFG124,AFG1,Afghanistan,AFG9,Ghazni,Wali Muhammad-e- Shahid,42.147965089203005,2.0,Member State,AFG,ND,2019
AFG125,AFG1,Afghanistan,AFG9,Ghazni,Zana Khan,15.784538915521418,2.0,Member State,AFG,ND,2019
AFG126,AFG1,Afghanistan,AFG10,Ghor,Chaghcharan,342.95640185090275,2.0,Member State,AFG,ND,2019
AFG127,AFG1,Afghanistan,AFG10,Ghor,Chahar Sadra,65.83748862719393,2.0,Member State,AFG,ND,2019
AFG128,AFG1,Afghanistan,AFG10,Ghor,Dawlat Yar,82.44329633029507,2.0,Member State,AFG,ND,2019
AFG129,AFG1,Afghanistan,AFG10,Ghor,Du Lina,67.73080102472578,2.0,Member State,AFG,ND,2019
AFG13,AFG1,Afghanistan,AFG1,Badakhshan,Kof Ab,55.95550377460226,2.0,Member State,AFG,ND,2019
AFG130,AFG1,Afghanistan,AFG10,Ghor,Lal Wa Sarjangal,205.08248265332668,2.0,Member State,AFG,ND,2019
AFG131,AFG1,Afghanistan,AFG10,Ghor,Pasaband,172.12673583690224,2.0,Member State,AFG,ND,2019
