L1_CODE,L0_CODE,L0_NAME,L1_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
BTN57,BTN31,Bhutan,Trashigang,286.33288192118766,1.0,Member State,BTN,ND,2012
BTN58,BTN31,Bhutan,Trashiyangtse,87.6700171061671,1.0,Member State,BTN,ND,2012
BTN59,BTN31,Bhutan,Trongsa,76.51093920907677,1.0,Member State,BTN,ND,2012
BTN60,BTN31,Bhutan,Tsirang,91.00771289025542,1.0,Member State,BTN,ND,2012
BTN61,BTN31,Bhutan,Wangduephodrang,329.1031215497793,1.0,Member State,BTN,ND,2012
BTN62,BTN31,Bhutan,Zhemgang,104.73536451589997,1.0,Member State,BTN,ND,2012
DS38520,DS38520,Arunchal Pradesh,Arunchal Pradesh,5093.145481626317,1.0,,,D,2012
DS38521,DS38521,Disputed - India/Pakistan,Disputed - India/Pakistan,1.9334518323920165,1.0,,,D,2012
DS38522,DS38522,"Disputed Area, China-India-Nepal","Disputed Area, China-India-Nepal",0.24965859926672856,1.0,,,D,2012
DS38523,DS38523,Disputed Area - China-India,Disputed Area - China-India,0.15251934663932226,1.0,,,D,2012
DS38524,DS38524,Disputed Area - China-India,Disputed Area - China-India,3.6620092628659564,1.0,,,D,2012
DS38525,DS38525,Disputed Area - China-India,Disputed Area - China-India,1.9326680639064322,1.0,,,D,2012
DS38526,DS38526,Disputed Area - China-India,Disputed Area - China-India,0.9015964910711829,1.0,,,D,2012
DS38527,DS38527,Disputed - India/Pakistan,Disputed - India/Pakistan,0.006953677536863059,1.0,,,D,2012
DS38528,DS38528,Disputed - India/Pakistan,Disputed - India/Pakistan,8.052318648825852e-06,1.0,,,D,2012
DS38529,DS38529,Disputed - India/Pakistan,Disputed - India/Pakistan,0.7480860048888512,1.0,,,D,2012
DS38530,DS38530,Disputed - India/Pakistan,Disputed - India/Pakistan,46.16621399617188,1.0,,,D,2012
IND63,IND115,India,Andaman and Nicobar Islands,1834.7660947942802,1.0,Member State,IND,ND,2012
IND64,IND115,India,Andhra Pradesh,250547.7790582829,1.0,Member State,IND,ND,2012
IND65,IND115,India,Arunachal Pradesh,2770.836930632898,1.0,Member State,IND,ND,2012
IND66,IND115,India,Assam,94797.07978670066,1.0,Member State,IND,ND,2012
