L1_CODE,L0_CODE,L0_NAME,L1_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,Badakhshan,1887.6724840941572,1.0,Member State,AFG,ND,2022
AFG10,AFG1,Afghanistan,Ghor,1298.596823989861,1.0,Member State,AFG,ND,2022
AFG11,AFG1,Afghanistan,Hilmand,1545.9235071181133,1.0,Member State,AFG,ND,2022
AFG12,AFG1,Afghanistan,Hirat,7586.311382991158,1.0,Member State,AFG,ND,2022
AFG13,AFG1,Afghanistan,Jawzjan,830.7080133505063,1.0,Member State,AFG,ND,2022
AFG14,AFG1,Afghanistan,Kabul,18198.010322877934,1.0,Member State,AFG,ND,2022
AFG15,AFG1,Afghanistan,Kandahar,4194.231664064449,1.0,Member State,AFG,ND,2022
AFG16,AFG1,Afghanistan,Kapisa,644.1008359810216,1.0,Member State,AFG,ND,2022
AFG17,AFG1,Afghanistan,Khost,1370.2885619446397,1.0,Member State,AFG,ND,2022
AFG18,AFG1,Afghanistan,Kunar,816.8396573743875,1.0,Member State,AFG,ND,2022
AFG19,AFG1,Afghanistan,Kunduz,1569.4050242096203,1.0,Member State,AFG,ND,2022
AFG2,AFG1,Afghanistan,Badghis,1023.0527558592428,1.0,Member State,AFG,ND,2022
AFG20,AFG1,Afghanistan,Laghman,831.7134493381652,1.0,Member State,AFG,ND,2022
AFG21,AFG1,Afghanistan,Logar,644.8788327098966,1.0,Member State,AFG,ND,2022
AFG22,AFG1,Afghanistan,Nangarhar,2950.832043169512,1.0,Member State,AFG,ND,2022
AFG23,AFG1,Afghanistan,Nimroz,515.5478654224248,1.0,Member State,AFG,ND,2022
AFG24,AFG1,Afghanistan,Nuristan,220.35613533158445,1.0,Member State,AFG,ND,2022
AFG25,AFG1,Afghanistan,Paktika,692.0752029670923,1.0,Member State,AFG,ND,2022
AFG26,AFG1,Afghanistan,Paktya,819.8883574652493,1.0,Member State,AFG,ND,2022
AFG27,AFG1,Afghanistan,Panjsher,238.82798289920734,1.0,Member State,AFG,ND,2022
AFG28,AFG1,Afghanistan,Parwan,1082.6706957269153,1.0,Member State,AFG,ND,2022
AFG29,AFG1,Afghanistan,Samangan,648.1481357200676,1.0,Member State,AFG,ND,2022
AFG3,AFG1,Afghanistan,Baghlan,1439.0654617916211,1.0,Member State,AFG,ND,2022
AFG30,AFG1,Afghanistan,Sar-e-Pul,777.1523148373549,1.0,Member State,AFG,ND,2022
AFG31,AFG1,Afghanistan,Takhar,1851.8800216201655,1.0,Member State,AFG,ND,2022
AFG32,AFG1,Afghanistan,Uruzgan,558.3036088516003,1.0,Member State,AFG,ND,2022
AFG33,AFG1,Afghanistan,Wardak,1011.1148814135865,1.0,Member State,AFG,ND,2022
AFG34,AFG1,Afghanistan,Zabul,487.0811773763585,1.0,Member State,AFG,ND,2022
AFG4,AFG1,Afghanistan,Balkh,3905.122651721852,1.0,Member State,AFG,ND,2022
AFG5,AFG1,Afghanistan,Bamyan,753.0456522611827,1.0,Member State,AFG,ND,2022
AFG6,AFG1,Afghanistan,Daykundi,711.5483875773089,1.0,Member State,AFG,ND,2022
AFG7,AFG1,Afghanistan,Farah,906.2272295492769,1.0,Member State,AFG,ND,2022
AFG8,AFG1,Afghanistan,Faryab,1944.9036663449497,1.0,Member State,AFG,ND,2022
AFG9,AFG1,Afghanistan,Ghazni,1344.4304577986861,1.0,Member State,AFG,ND,2022
BGD35,BGD23,Bangladesh,Barishal,42029.47366795828,1.0,Member State,BGD,ND,2022
BGD36,BGD23,Bangladesh,Chattogram,180535.1921971797,1.0,Member State,BGD,ND,2022
BGD37,BGD23,Bangladesh,Dhaka,405846.88795431686,1.0,Member State,BGD,ND,2022
BGD38,BGD23,Bangladesh,Khulna,106689.43705791912,1.0,Member State,BGD,ND,2022
BGD39,BGD23,Bangladesh,Mymensingh,62579.06824964235,1.0,Member State,BGD,ND,2022
BGD40,BGD23,Bangladesh,Rajshahi,113250.14033076727,1.0,Member State,BGD,ND,2022
BGD41,BGD23,Bangladesh,Rangpur,83951.8044859431,1.0,Member State,BGD,ND,2022
BGD42,BGD23,Bangladesh,Sylhet,57569.92098720191,1.0,Member State,BGD,ND,2022
