L0_CODE,L0_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,Afghanistan,73709.34392155257,0,Member State,AFG,ND,2016
BGD23,Bangladesh,720857.219446214,0,Member State,BGD,ND,2016
BTN31,Bhutan,8604.362406748294,0,Member State,BTN,ND,2016
DS38520,Arunchal Pradesh,7365.853393370217,0,,,D,2016
DS38521,Disputed - India/Pakistan,2.1225197234116133,0,,,D,2016
DS38522,"Disputed Area, China-India-Nepal",0.2909284008852166,0,,,D,2016
DS38523,Disputed Area - China-India,0.16196589447194729,0,,,D,2016
DS38524,Disputed Area - China-India,3.947895015001962,0,,,D,2016
DS38525,Disputed Area - China-India,2.020888210581173,0,,,D,2016
DS38526,Disputed Area - China-India,0.9276207633593202,0,,,D,2016
DS38527,Disputed - India/Pakistan,0.008405219370069453,0,,,D,2016
DS38528,Disputed - India/Pakistan,9.733195754661782e-06,0,,,D,2016
DS38529,Disputed - India/Pakistan,0.7555097560880579,0,,,D,2016
DS38530,Disputed - India/Pakistan,49.08289659367341,0,,,D,2016
IND115,India,7550612.935195545,0,Member State,IND,ND,2016
LKA231,Sri Lanka,236696.87564597177,0,Member State,LKA,ND,2016
MDV154,Maldives,23.484899574503235,0,Member State,MDV,ND,2016
NPL175,Nepal,87151.12958115322,0,Member State,NPL,ND,2016
PAK188,Pakistan,1000877.3206346278,0,Sovereignty unsettled,PAK,ND,2016
