L1_CODE,L0_CODE,L0_NAME,L1_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,Badakhshan,1818.3514945489605,1.0,Member State,AFG,ND,2014
AFG10,AFG1,Afghanistan,Ghor,1320.7200431061306,1.0,Member State,AFG,ND,2014
AFG11,AFG1,Afghanistan,Hilmand,1755.638901311075,1.0,Member State,AFG,ND,2014
AFG12,AFG1,Afghanistan,Hirat,7076.768825056168,1.0,Member State,AFG,ND,2014
AFG13,AFG1,Afghanistan,Jawzjan,920.9505207757323,1.0,Member State,AFG,ND,2014
AFG14,AFG1,Afghanistan,Kabul,19883.702496339003,1.0,Member State,AFG,ND,2014
AFG15,AFG1,Afghanistan,Kandahar,4462.931517909747,1.0,Member State,AFG,ND,2014
AFG16,AFG1,Afghanistan,Kapisa,772.2709461110251,1.0,Member State,AFG,ND,2014
AFG17,AFG1,Afghanistan,Khost,1249.4631463117487,1.0,Member State,AFG,ND,2014
AFG18,AFG1,Afghanistan,Kunar,878.424081575102,1.0,Member State,AFG,ND,2014
AFG19,AFG1,Afghanistan,Kunduz,1762.5309138580926,1.0,Member State,AFG,ND,2014
AFG2,AFG1,Afghanistan,Badghis,919.2554520496255,1.0,Member State,AFG,ND,2014
AFG20,AFG1,Afghanistan,Laghman,930.8275868898806,1.0,Member State,AFG,ND,2014
AFG21,AFG1,Afghanistan,Logar,729.7740776242435,1.0,Member State,AFG,ND,2014
AFG22,AFG1,Afghanistan,Nangarhar,3431.388037206217,1.0,Member State,AFG,ND,2014
AFG23,AFG1,Afghanistan,Nimroz,570.181043002632,1.0,Member State,AFG,ND,2014
AFG24,AFG1,Afghanistan,Nuristan,245.33885136677637,1.0,Member State,AFG,ND,2014
AFG25,AFG1,Afghanistan,Paktika,799.6047902417336,1.0,Member State,AFG,ND,2014
AFG26,AFG1,Afghanistan,Paktya,918.4103773052467,1.0,Member State,AFG,ND,2014
AFG27,AFG1,Afghanistan,Panjsher,291.82781000890816,1.0,Member State,AFG,ND,2014
AFG28,AFG1,Afghanistan,Parwan,1429.8159197476175,1.0,Member State,AFG,ND,2014
AFG29,AFG1,Afghanistan,Samangan,715.4677965386509,1.0,Member State,AFG,ND,2014
AFG3,AFG1,Afghanistan,Baghlan,1819.0115132792557,1.0,Member State,AFG,ND,2014
AFG30,AFG1,Afghanistan,Sar-e-Pul,1081.2218868320688,1.0,Member State,AFG,ND,2014
AFG31,AFG1,Afghanistan,Takhar,1911.0544136685896,1.0,Member State,AFG,ND,2014
AFG32,AFG1,Afghanistan,Uruzgan,610.3028786768272,1.0,Member State,AFG,ND,2014
AFG33,AFG1,Afghanistan,Wardak,1073.2082915370631,1.0,Member State,AFG,ND,2014
