L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,29.707724379343404,2.0,Member State,AFG,ND,2020
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,213.67288780311742,2.0,Member State,AFG,ND,2020
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,88.13221152558376,2.0,Member State,AFG,ND,2020
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,128.0911396992271,2.0,Member State,AFG,ND,2020
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,479.1502462345956,2.0,Member State,AFG,ND,2020
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,76.90003824010923,2.0,Member State,AFG,ND,2020
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,278.19654168221194,2.0,Member State,AFG,ND,2020
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,64.4176224703227,2.0,Member State,AFG,ND,2020
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,262.9440402230031,2.0,Member State,AFG,ND,2020
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,33.2891996330008,2.0,Member State,AFG,ND,2020
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,36.337515248264964,2.0,Member State,AFG,ND,2020
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,164.4064968064743,2.0,Member State,AFG,ND,2020
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,111.62774131645757,2.0,Member State,AFG,ND,2020
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,68.53411911897567,2.0,Member State,AFG,ND,2020
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,93.3013885199471,2.0,Member State,AFG,ND,2020
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,189.53670014450654,2.0,Member State,AFG,ND,2020
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,46.62116790001437,2.0,Member State,AFG,ND,2020
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,45.94688345341918,2.0,Member State,AFG,ND,2020
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,238.15941910839243,2.0,Member State,AFG,ND,2020
AFG116,AFG1,Afghanistan,AFG9,Ghazni,Khwaja Umari,38.244914575287176,2.0,Member State,AFG,ND,2020
AFG117,AFG1,Afghanistan,AFG9,Ghazni,Malestan,85.82063798462491,2.0,Member State,AFG,ND,2020
AFG118,AFG1,Afghanistan,AFG9,Ghazni,Muqur,69.03466351317981,2.0,Member State,AFG,ND,2020
AFG119,AFG1,Afghanistan,AFG9,Ghazni,Nawa,31.724135457343106,2.0,Member State,AFG,ND,2020
AFG12,AFG1,Afghanistan,AFG1,Badakhshan,Khwahan,37.181917009521605,2.0,Member State,AFG,ND,2020
AFG120,AFG1,Afghanistan,AFG9,Ghazni,Nawur,307.7774252877236,2.0,Member State,AFG,ND,2020
AFG121,AFG1,Afghanistan,AFG9,Ghazni,Qarabagh,195.75474030097763,2.0,Member State,AFG,ND,2020
AFG122,AFG1,Afghanistan,AFG9,Ghazni,Rashidan,20.757492382414704,2.0,Member State,AFG,ND,2020
AFG123,AFG1,Afghanistan,AFG9,Ghazni,Waghaz,51.187257517895624,2.0,Member State,AFG,ND,2020
AFG124,AFG1,Afghanistan,AFG9,Ghazni,Wali Muhammad-e- Shahid,39.90866572335618,2.0,Member State,AFG,ND,2020
AFG125,AFG1,Afghanistan,AFG9,Ghazni,Zana Khan,14.971118889691585,2.0,Member State,AFG,ND,2020
AFG126,AFG1,Afghanistan,AFG10,Ghor,Chaghcharan,335.0469854139885,2.0,Member State,AFG,ND,2020
AFG127,AFG1,Afghanistan,AFG10,Ghor,Chahar Sadra,64.80183056436066,2.0,Member State,AFG,ND,2020
AFG128,AFG1,Afghanistan,AFG10,Ghor,Dawlat Yar,80.56836804186881,2.0,Member State,AFG,ND,2020
AFG129,AFG1,Afghanistan,AFG10,Ghor,Du Lina,66.95386211310573,2.0,Member State,AFG,ND,2020
AFG13,AFG1,Afghanistan,AFG1,Badakhshan,Kof Ab,55.26349140009436,2.0,Member State,AFG,ND,2020
AFG130,AFG1,Afghanistan,AFG10,Ghor,Lal Wa Sarjangal,202.6295502656646,2.0,Member State,AFG,ND,2020
AFG131,AFG1,Afghanistan,AFG10,Ghor,Pasaband,173.53307111765403,2.0,Member State,AFG,ND,2020
AFG132,AFG1,Afghanistan,AFG10,Ghor,Saghar,71.14443796440035,2.0,Member State,AFG,ND,2020
AFG133,AFG1,Afghanistan,AFG10,Ghor,Shahrak,177.59119050801937,2.0,Member State,AFG,ND,2020
AFG134,AFG1,Afghanistan,AFG10,Ghor,Taywarah,208.47228244440862,2.0,Member State,AFG,ND,2020
AFG135,AFG1,Afghanistan,AFG10,Ghor,Tolak,104.90274938517881,2.0,Member State,AFG,ND,2020
AFG136,AFG1,Afghanistan,AFG11,Hilmand,Baghran,182.659639564779,2.0,Member State,AFG,ND,2020
AFG137,AFG1,Afghanistan,AFG11,Hilmand,Deh shu,31.382764929049394,2.0,Member State,AFG,ND,2020
AFG138,AFG1,Afghanistan,AFG11,Hilmand,Garm Ser,194.35237103102452,2.0,Member State,AFG,ND,2020
AFG139,AFG1,Afghanistan,AFG11,Hilmand,Kajaki,135.6010155710426,2.0,Member State,AFG,ND,2020
AFG14,AFG1,Afghanistan,AFG1,Badakhshan,Kohistan,37.46415954667772,2.0,Member State,AFG,ND,2020
AFG140,AFG1,Afghanistan,AFG11,Hilmand,Lashkar Gah,331.6785086393592,2.0,Member State,AFG,ND,2020
AFG141,AFG1,Afghanistan,AFG11,Hilmand,Musa Qaleh,122.77522037931752,2.0,Member State,AFG,ND,2020
AFG142,AFG1,Afghanistan,AFG11,Hilmand,Nad-e-Ali,219.52350131223272,2.0,Member State,AFG,ND,2020
AFG143,AFG1,Afghanistan,AFG11,Hilmand,Nahr-e-Saraj,223.22916645303616,2.0,Member State,AFG,ND,2020
AFG144,AFG1,Afghanistan,AFG11,Hilmand,Naw Zad,97.68238961761193,2.0,Member State,AFG,ND,2020
AFG145,AFG1,Afghanistan,AFG11,Hilmand,Nawa-e-Barak Zaiy,170.2433955956449,2.0,Member State,AFG,ND,2020
AFG146,AFG1,Afghanistan,AFG11,Hilmand,Reg(khan Neshin),12.15266652369177,2.0,Member State,AFG,ND,2020
AFG147,AFG1,Afghanistan,AFG11,Hilmand,Sangin,109.70605741925606,2.0,Member State,AFG,ND,2020
AFG148,AFG1,Afghanistan,AFG11,Hilmand,Wa Sher,28.579857891756774,2.0,Member State,AFG,ND,2020
AFG149,AFG1,Afghanistan,AFG12,Hirat,Adraskan,81.84489580110967,2.0,Member State,AFG,ND,2020
AFG15,AFG1,Afghanistan,AFG1,Badakhshan,Koran wa Monjan,20.068867965094448,2.0,Member State,AFG,ND,2020
AFG150,AFG1,Afghanistan,AFG12,Hirat,Chisht-e-Sharif,36.47727546717712,2.0,Member State,AFG,ND,2020
AFG151,AFG1,Afghanistan,AFG12,Hirat,Farsi,58.62036089485324,2.0,Member State,AFG,ND,2020
AFG152,AFG1,Afghanistan,AFG12,Hirat,Ghoryan,165.9342358144753,2.0,Member State,AFG,ND,2020
AFG153,AFG1,Afghanistan,AFG12,Hirat,Gulran,194.36719976076475,2.0,Member State,AFG,ND,2020
AFG154,AFG1,Afghanistan,AFG12,Hirat,Guzara,1204.4022404839352,2.0,Member State,AFG,ND,2020
AFG155,AFG1,Afghanistan,AFG12,Hirat,Hirat,1691.8839002091204,2.0,Member State,AFG,ND,2020
AFG156,AFG1,Afghanistan,AFG12,Hirat,Injil,3444.588030371345,2.0,Member State,AFG,ND,2020
AFG157,AFG1,Afghanistan,AFG12,Hirat,Karukh,148.90687202067187,2.0,Member State,AFG,ND,2020
AFG158,AFG1,Afghanistan,AFG12,Hirat,Kohsan,105.21745092651152,2.0,Member State,AFG,ND,2020
AFG159,AFG1,Afghanistan,AFG12,Hirat,Kushk,225.8764357693603,2.0,Member State,AFG,ND,2020
AFG16,AFG1,Afghanistan,AFG1,Badakhshan,Raghistan,64.18591854897178,2.0,Member State,AFG,ND,2020
AFG160,AFG1,Afghanistan,AFG12,Hirat,Kushk-e-Kohna,95.43091864305603,2.0,Member State,AFG,ND,2020
AFG161,AFG1,Afghanistan,AFG12,Hirat,Obe,152.96082080856038,2.0,Member State,AFG,ND,2020
AFG162,AFG1,Afghanistan,AFG12,Hirat,Pashtun  Zarghun,242.12236045508996,2.0,Member State,AFG,ND,2020
AFG163,AFG1,Afghanistan,AFG12,Hirat,Shindand,500.5704465581518,2.0,Member State,AFG,ND,2020
AFG164,AFG1,Afghanistan,AFG12,Hirat,Zinda Jan,122.16531479421944,2.0,Member State,AFG,ND,2020
AFG165,AFG1,Afghanistan,AFG13,Jawzjan,Aqcha,107.44782134278147,2.0,Member State,AFG,ND,2020
AFG166,AFG1,Afghanistan,AFG13,Jawzjan,Darz Ab,74.78789349616808,2.0,Member State,AFG,ND,2020
AFG167,AFG1,Afghanistan,AFG13,Jawzjan,Fayz Abad,66.5223110876991,2.0,Member State,AFG,ND,2020
AFG168,AFG1,Afghanistan,AFG13,Jawzjan,Khamyab,55.93289026221032,2.0,Member State,AFG,ND,2020
AFG169,AFG1,Afghanistan,AFG13,Jawzjan,Khanaqa,78.31158730474492,2.0,Member State,AFG,ND,2020
AFG17,AFG1,Afghanistan,AFG1,Badakhshan,Shahr-e-Buzorg,123.98434581717586,2.0,Member State,AFG,ND,2020
AFG170,AFG1,Afghanistan,AFG13,Jawzjan,Khwaja Du Koh,38.56680062662956,2.0,Member State,AFG,ND,2020
AFG171,AFG1,Afghanistan,AFG13,Jawzjan,Mardyan,50.006785436948945,2.0,Member State,AFG,ND,2020
AFG172,AFG1,Afghanistan,AFG13,Jawzjan,Mingajik,73.16807560611228,2.0,Member State,AFG,ND,2020
AFG173,AFG1,Afghanistan,AFG13,Jawzjan,Qarqin,150.79456536320674,2.0,Member State,AFG,ND,2020
AFG174,AFG1,Afghanistan,AFG13,Jawzjan,Qush Tepa,36.13667958911023,2.0,Member State,AFG,ND,2020
AFG175,AFG1,Afghanistan,AFG13,Jawzjan,Shiberghan,257.86830610823057,2.0,Member State,AFG,ND,2020
AFG176,AFG1,Afghanistan,AFG14,Kabul,Bagrami,1955.6561227677455,2.0,Member State,AFG,ND,2020
AFG177,AFG1,Afghanistan,AFG14,Kabul,Chahar Asyab,1959.0963079744033,2.0,Member State,AFG,ND,2020
AFG178,AFG1,Afghanistan,AFG14,Kabul,Deh Sabz,447.7448576860358,2.0,Member State,AFG,ND,2020
AFG179,AFG1,Afghanistan,AFG14,Kabul,Estalef,41.35028054204923,2.0,Member State,AFG,ND,2020
AFG18,AFG1,Afghanistan,AFG1,Badakhshan,Shaki,53.3490669898124,2.0,Member State,AFG,ND,2020
AFG180,AFG1,Afghanistan,AFG14,Kabul,Farza,76.692625359113,2.0,Member State,AFG,ND,2020
AFG181,AFG1,Afghanistan,AFG14,Kabul,Guldara,58.04599594124522,2.0,Member State,AFG,ND,2020
AFG182,AFG1,Afghanistan,AFG14,Kabul,Kabul,15542.799723771077,2.0,Member State,AFG,ND,2020
AFG183,AFG1,Afghanistan,AFG14,Kabul,Kalakan,87.2461534270152,2.0,Member State,AFG,ND,2020
AFG184,AFG1,Afghanistan,AFG14,Kabul,Khak-e- Jabbar,48.7360407939407,2.0,Member State,AFG,ND,2020
AFG185,AFG1,Afghanistan,AFG14,Kabul,Mir Bacha Kot,120.24576254673866,2.0,Member State,AFG,ND,2020
AFG186,AFG1,Afghanistan,AFG14,Kabul,Musayi,261.5315955045,2.0,Member State,AFG,ND,2020
AFG187,AFG1,Afghanistan,AFG14,Kabul,Paghman,387.8129715502157,2.0,Member State,AFG,ND,2020
AFG188,AFG1,Afghanistan,AFG14,Kabul,Qarabagh,94.38585816400428,2.0,Member State,AFG,ND,2020
AFG189,AFG1,Afghanistan,AFG14,Kabul,Shakardara,809.0119070898256,2.0,Member State,AFG,ND,2020
AFG19,AFG1,Afghanistan,AFG1,Badakhshan,Shighnan,113.5300651692719,2.0,Member State,AFG,ND,2020
AFG190,AFG1,Afghanistan,AFG14,Kabul,Surobi,123.90995623365502,2.0,Member State,AFG,ND,2020
AFG191,AFG1,Afghanistan,AFG15,Kandahar,Arghandab,386.1351386706432,2.0,Member State,AFG,ND,2020
AFG192,AFG1,Afghanistan,AFG15,Kandahar,Arghistan,60.02614853858079,2.0,Member State,AFG,ND,2020
AFG193,AFG1,Afghanistan,AFG15,Kandahar,Daman,594.4594087247976,2.0,Member State,AFG,ND,2020
AFG194,AFG1,Afghanistan,AFG15,Kandahar,Ghorak,18.399295440169503,2.0,Member State,AFG,ND,2020
AFG195,AFG1,Afghanistan,AFG15,Kandahar,Kandahar,3025.943405053868,2.0,Member State,AFG,ND,2020
AFG196,AFG1,Afghanistan,AFG15,Kandahar,Khakrez,46.052694371039344,2.0,Member State,AFG,ND,2020
AFG197,AFG1,Afghanistan,AFG15,Kandahar,Maruf,60.38711922514847,2.0,Member State,AFG,ND,2020
AFG198,AFG1,Afghanistan,AFG15,Kandahar,Maywand,137.38999449505968,2.0,Member State,AFG,ND,2020
AFG199,AFG1,Afghanistan,AFG15,Kandahar,Miyanshin,33.456363767914915,2.0,Member State,AFG,ND,2020
AFG2,AFG1,Afghanistan,AFG1,Badakhshan,Argo,212.4425051917442,2.0,Member State,AFG,ND,2020
AFG20,AFG1,Afghanistan,AFG1,Badakhshan,Shuhada,77.91699558245472,2.0,Member State,AFG,ND,2020
AFG200,AFG1,Afghanistan,AFG15,Kandahar,Nesh,28.19683301582626,2.0,Member State,AFG,ND,2020
AFG201,AFG1,Afghanistan,AFG15,Kandahar,Panj wayi,207.1624516811961,2.0,Member State,AFG,ND,2020
AFG202,AFG1,Afghanistan,AFG15,Kandahar,Reg,19.28441708876611,2.0,Member State,AFG,ND,2020
AFG203,AFG1,Afghanistan,AFG15,Kandahar,Shah Wali Kot,84.43391567276714,2.0,Member State,AFG,ND,2020
AFG204,AFG1,Afghanistan,AFG15,Kandahar,Shor Abak,20.853689183064617,2.0,Member State,AFG,ND,2020
AFG205,AFG1,Afghanistan,AFG15,Kandahar,Spin Boldak,146.12326682236153,2.0,Member State,AFG,ND,2020
AFG206,AFG1,Afghanistan,AFG15,Kandahar,Zheray,107.36993424068346,2.0,Member State,AFG,ND,2020
AFG207,AFG1,Afghanistan,AFG16,Kapisa,Alasay,54.6730208686045,2.0,Member State,AFG,ND,2020
AFG208,AFG1,Afghanistan,AFG16,Kapisa,Hesa Awal-e- Kohestan,99.33165353862915,2.0,Member State,AFG,ND,2020
AFG209,AFG1,Afghanistan,AFG16,Kapisa,Hisa Duwum-e- Kohestan,104.21247124922503,2.0,Member State,AFG,ND,2020
AFG21,AFG1,Afghanistan,AFG1,Badakhshan,Tagab,65.88908246871502,2.0,Member State,AFG,ND,2020
AFG210,AFG1,Afghanistan,AFG16,Kapisa,Koh Band,40.73068222416723,2.0,Member State,AFG,ND,2020
AFG211,AFG1,Afghanistan,AFG16,Kapisa,Mahmud-e- Raqi,159.73912508358907,2.0,Member State,AFG,ND,2020
AFG212,AFG1,Afghanistan,AFG16,Kapisa,Nejrab,189.96994527489284,2.0,Member State,AFG,ND,2020
AFG213,AFG1,Afghanistan,AFG16,Kapisa,Tagab,182.74386897023535,2.0,Member State,AFG,ND,2020
AFG214,AFG1,Afghanistan,AFG17,Khost,Bak,53.76320766106034,2.0,Member State,AFG,ND,2020
AFG215,AFG1,Afghanistan,AFG17,Khost,Gurbuz,177.4192940023792,2.0,Member State,AFG,ND,2020
AFG216,AFG1,Afghanistan,AFG17,Khost,Jaji Maydan,60.613159834853434,2.0,Member State,AFG,ND,2020
AFG217,AFG1,Afghanistan,AFG17,Khost,Khost(Matun),295.30805246402014,2.0,Member State,AFG,ND,2020
AFG218,AFG1,Afghanistan,AFG17,Khost,Mando Zayi,136.23209747800783,2.0,Member State,AFG,ND,2020
AFG219,AFG1,Afghanistan,AFG17,Khost,Musa Khel,97.95536859738377,2.0,Member State,AFG,ND,2020
AFG22,AFG1,Afghanistan,AFG1,Badakhshan,Teshkan,88.58438457151334,2.0,Member State,AFG,ND,2020
AFG220,AFG1,Afghanistan,AFG17,Khost,Nadir Shah Kot,87.84388958304557,2.0,Member State,AFG,ND,2020
AFG221,AFG1,Afghanistan,AFG17,Khost,Qalandar,31.909954157163295,2.0,Member State,AFG,ND,2020
AFG222,AFG1,Afghanistan,AFG17,Khost,Sabri,168.41692844285623,2.0,Member State,AFG,ND,2020
AFG223,AFG1,Afghanistan,AFG17,Khost,Shamal (Shamul),37.27762869627881,2.0,Member State,AFG,ND,2020
AFG224,AFG1,Afghanistan,AFG17,Khost,Spera,61.60140744564128,2.0,Member State,AFG,ND,2020
AFG225,AFG1,Afghanistan,AFG17,Khost,Tani,204.93628413159158,2.0,Member State,AFG,ND,2020
AFG226,AFG1,Afghanistan,AFG17,Khost,Tere Zayi,122.34764734770472,2.0,Member State,AFG,ND,2020
AFG227,AFG1,Afghanistan,AFG18,Kunar,Asad Abad,64.73373928057327,2.0,Member State,AFG,ND,2020
AFG228,AFG1,Afghanistan,AFG18,Kunar,Bar Kunar,45.76880830125718,2.0,Member State,AFG,ND,2020
AFG229,AFG1,Afghanistan,AFG18,Kunar,Chapa Dara,62.10573578998143,2.0,Member State,AFG,ND,2020
AFG23,AFG1,Afghanistan,AFG1,Badakhshan,Wakhan,50.01416783350914,2.0,Member State,AFG,ND,2020
AFG230,AFG1,Afghanistan,AFG18,Kunar,Chawkay,70.26853701393375,2.0,Member State,AFG,ND,2020
AFG231,AFG1,Afghanistan,AFG18,Kunar,Dangam,38.42107336914767,2.0,Member State,AFG,ND,2020
AFG232,AFG1,Afghanistan,AFG18,Kunar,Dara-e-Pech,134.2944882386243,2.0,Member State,AFG,ND,2020
AFG233,AFG1,Afghanistan,AFG18,Kunar,Ghazi Abad,33.6499959117494,2.0,Member State,AFG,ND,2020
AFG234,AFG1,Afghanistan,AFG18,Kunar,Khas Kunar,113.77184553632118,2.0,Member State,AFG,ND,2020
AFG235,AFG1,Afghanistan,AFG18,Kunar,Marawara,62.77791338706322,2.0,Member State,AFG,ND,2020
AFG236,AFG1,Afghanistan,AFG18,Kunar,Narang,33.2220978633403,2.0,Member State,AFG,ND,2020
AFG237,AFG1,Afghanistan,AFG18,Kunar,Nari,55.12324677653018,2.0,Member State,AFG,ND,2020
AFG238,AFG1,Afghanistan,AFG18,Kunar,Nurgal,66.33501686622647,2.0,Member State,AFG,ND,2020
AFG239,AFG1,Afghanistan,AFG18,Kunar,Sarkani,83.22067047219392,2.0,Member State,AFG,ND,2020
AFG24,AFG1,Afghanistan,AFG1,Badakhshan,Warduj,39.732218623966254,2.0,Member State,AFG,ND,2020
AFG240,AFG1,Afghanistan,AFG18,Kunar,Shigal wa shel tan,76.32884527077938,2.0,Member State,AFG,ND,2020
AFG241,AFG1,Afghanistan,AFG18,Kunar,Wata Pur,45.99638852547255,2.0,Member State,AFG,ND,2020
AFG242,AFG1,Afghanistan,AFG19,Kunduz,Ali Abad,103.06972238900066,2.0,Member State,AFG,ND,2020
AFG243,AFG1,Afghanistan,AFG19,Kunduz,Chahar Darah,133.10054987558672,2.0,Member State,AFG,ND,2020
AFG244,AFG1,Afghanistan,AFG19,Kunduz,Dasht-e-Archi,144.87198306571634,2.0,Member State,AFG,ND,2020
AFG245,AFG1,Afghanistan,AFG19,Kunduz,Imam Saheb,404.47490521787097,2.0,Member State,AFG,ND,2020
AFG246,AFG1,Afghanistan,AFG19,Kunduz,Khan Abad,232.5149117027119,2.0,Member State,AFG,ND,2020
AFG247,AFG1,Afghanistan,AFG19,Kunduz,Kunduz,509.3180437969715,2.0,Member State,AFG,ND,2020
AFG248,AFG1,Afghanistan,AFG19,Kunduz,Qala-e-Zal,131.7160502947788,2.0,Member State,AFG,ND,2020
AFG249,AFG1,Afghanistan,AFG20,Laghman,Alingar,239.90634233657588,2.0,Member State,AFG,ND,2020
AFG25,AFG1,Afghanistan,AFG1,Badakhshan,Yaftal-e-Sufla,97.26015758967651,2.0,Member State,AFG,ND,2020
AFG250,AFG1,Afghanistan,AFG20,Laghman,Alishang,142.58852632053663,2.0,Member State,AFG,ND,2020
AFG251,AFG1,Afghanistan,AFG20,Laghman,Daulat Shah,53.12984572706046,2.0,Member State,AFG,ND,2020
AFG252,AFG1,Afghanistan,AFG20,Laghman,Mehtarlam,376.0466022888604,2.0,Member State,AFG,ND,2020
AFG253,AFG1,Afghanistan,AFG20,Laghman,Qarghayi,193.61732432799297,2.0,Member State,AFG,ND,2020
AFG254,AFG1,Afghanistan,AFG21,Logar,Azra,39.69909667727098,2.0,Member State,AFG,ND,2020
AFG255,AFG1,Afghanistan,AFG21,Logar,Baraki Barak,164.80953167298475,2.0,Member State,AFG,ND,2020
AFG256,AFG1,Afghanistan,AFG21,Logar,Charkh,117.29506663943424,2.0,Member State,AFG,ND,2020
AFG257,AFG1,Afghanistan,AFG21,Logar,Kharwar,45.48202214522983,2.0,Member State,AFG,ND,2020
AFG258,AFG1,Afghanistan,AFG21,Logar,Khoshi,28.468344907262626,2.0,Member State,AFG,ND,2020
AFG259,AFG1,Afghanistan,AFG21,Logar,Mohammad Agha,151.5322806658201,2.0,Member State,AFG,ND,2020
AFG26,AFG1,Afghanistan,AFG1,Badakhshan,Yamgan,67.0159835015083,2.0,Member State,AFG,ND,2020
AFG260,AFG1,Afghanistan,AFG21,Logar,Pul-e- Alam,233.0547912740372,2.0,Member State,AFG,ND,2020
AFG261,AFG1,Afghanistan,AFG22,Nangarhar,Achin,255.89056283196325,2.0,Member State,AFG,ND,2020
AFG262,AFG1,Afghanistan,AFG22,Nangarhar,Bati Kot,97.91858657373828,2.0,Member State,AFG,ND,2020
AFG263,AFG1,Afghanistan,AFG22,Nangarhar,Behsud,559.061561733905,2.0,Member State,AFG,ND,2020
AFG264,AFG1,Afghanistan,AFG22,Nangarhar,Chaparhar,304.84029431938905,2.0,Member State,AFG,ND,2020
AFG265,AFG1,Afghanistan,AFG22,Nangarhar,Dara-e-Nur,60.50758985941077,2.0,Member State,AFG,ND,2020
AFG266,AFG1,Afghanistan,AFG22,Nangarhar,Deh Bala,108.82842846584802,2.0,Member State,AFG,ND,2020
AFG267,AFG1,Afghanistan,AFG22,Nangarhar,Dur Baba,56.70373129391339,2.0,Member State,AFG,ND,2020
AFG268,AFG1,Afghanistan,AFG22,Nangarhar,Goshta,71.53473546973484,2.0,Member State,AFG,ND,2020
AFG269,AFG1,Afghanistan,AFG22,Nangarhar,Hesarak,74.03716548743891,2.0,Member State,AFG,ND,2020
AFG27,AFG1,Afghanistan,AFG1,Badakhshan,Yawan,71.66316897656779,2.0,Member State,AFG,ND,2020
AFG270,AFG1,Afghanistan,AFG22,Nangarhar,Jalalabad,120.90125396642762,2.0,Member State,AFG,ND,2020
