L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG145,AFG1,Afghanistan,AFG11,Hilmand,Nawa-e-Barak Zaiy,133.12766801321328,2.0,Member State,AFG,ND,2022
AFG146,AFG1,Afghanistan,AFG11,Hilmand,Reg(khan Neshin),10.061221513177355,2.0,Member State,AFG,ND,2022
AFG147,AFG1,Afghanistan,AFG11,Hilmand,Sangin,92.146334686193,2.0,Member State,AFG,ND,2022
AFG148,AFG1,Afghanistan,AFG11,Hilmand,Wa Sher,23.365575125227455,2.0,Member State,AFG,ND,2022
AFG149,AFG1,Afghanistan,AFG12,Hirat,Adraskan,70.90053986786714,2.0,Member State,AFG,ND,2022
AFG15,AFG1,Afghanistan,AFG1,Badakhshan,Koran wa Monjan,16.838310472051933,2.0,Member State,AFG,ND,2022
AFG150,AFG1,Afghanistan,AFG12,Hirat,Chisht-e-Sharif,32.76998604767571,2.0,Member State,AFG,ND,2022
AFG151,AFG1,Afghanistan,AFG12,Hirat,Farsi,49.5626210530274,2.0,Member State,AFG,ND,2022
AFG152,AFG1,Afghanistan,AFG12,Hirat,Ghoryan,140.89949129365482,2.0,Member State,AFG,ND,2022
AFG153,AFG1,Afghanistan,AFG12,Hirat,Gulran,181.0138024458524,2.0,Member State,AFG,ND,2022
AFG154,AFG1,Afghanistan,AFG12,Hirat,Guzara,1245.9328440105005,2.0,Member State,AFG,ND,2022
AFG155,AFG1,Afghanistan,AFG12,Hirat,Hirat,1484.0965487997298,2.0,Member State,AFG,ND,2022
AFG156,AFG1,Afghanistan,AFG12,Hirat,Injil,2994.849168517755,2.0,Member State,AFG,ND,2022
AFG157,AFG1,Afghanistan,AFG12,Hirat,Karukh,125.43134601512779,2.0,Member State,AFG,ND,2022
AFG158,AFG1,Afghanistan,AFG12,Hirat,Kohsan,91.26288977474913,2.0,Member State,AFG,ND,2022
AFG159,AFG1,Afghanistan,AFG12,Hirat,Kushk,185.30866111704032,2.0,Member State,AFG,ND,2022
AFG16,AFG1,Afghanistan,AFG1,Badakhshan,Raghistan,56.65332898954318,2.0,Member State,AFG,ND,2022
AFG160,AFG1,Afghanistan,AFG12,Hirat,Kushk-e-Kohna,84.24602340595949,2.0,Member State,AFG,ND,2022
AFG161,AFG1,Afghanistan,AFG12,Hirat,Obe,132.9430825131818,2.0,Member State,AFG,ND,2022
AFG162,AFG1,Afghanistan,AFG12,Hirat,Pashtun  Zarghun,215.45257527540278,2.0,Member State,AFG,ND,2022
AFG163,AFG1,Afghanistan,AFG12,Hirat,Shindand,438.3634612926344,2.0,Member State,AFG,ND,2022
AFG164,AFG1,Afghanistan,AFG12,Hirat,Zinda Jan,113.27834156099915,2.0,Member State,AFG,ND,2022
AFG165,AFG1,Afghanistan,AFG13,Jawzjan,Aqcha,85.60532497221072,2.0,Member State,AFG,ND,2022
AFG166,AFG1,Afghanistan,AFG13,Jawzjan,Darz Ab,59.71536484295969,2.0,Member State,AFG,ND,2022
AFG167,AFG1,Afghanistan,AFG13,Jawzjan,Fayz Abad,53.58727951401547,2.0,Member State,AFG,ND,2022
AFG168,AFG1,Afghanistan,AFG13,Jawzjan,Khamyab,58.18716405188386,2.0,Member State,AFG,ND,2022
AFG169,AFG1,Afghanistan,AFG13,Jawzjan,Khanaqa,62.41455304696888,2.0,Member State,AFG,ND,2022
AFG17,AFG1,Afghanistan,AFG1,Badakhshan,Shahr-e-Buzorg,105.39339748975448,2.0,Member State,AFG,ND,2022
AFG170,AFG1,Afghanistan,AFG13,Jawzjan,Khwaja Du Koh,30.337998668257203,2.0,Member State,AFG,ND,2022
AFG171,AFG1,Afghanistan,AFG13,Jawzjan,Mardyan,40.88752484722468,2.0,Member State,AFG,ND,2022
AFG172,AFG1,Afghanistan,AFG13,Jawzjan,Mingajik,58.36776956018572,2.0,Member State,AFG,ND,2022
AFG173,AFG1,Afghanistan,AFG13,Jawzjan,Qarqin,154.40241648460133,2.0,Member State,AFG,ND,2022
AFG174,AFG1,Afghanistan,AFG13,Jawzjan,Qush Tepa,28.83524871043196,2.0,Member State,AFG,ND,2022
AFG175,AFG1,Afghanistan,AFG13,Jawzjan,Shiberghan,198.3673686517668,2.0,Member State,AFG,ND,2022
AFG176,AFG1,Afghanistan,AFG14,Kabul,Bagrami,1567.3086362218846,2.0,Member State,AFG,ND,2022
AFG177,AFG1,Afghanistan,AFG14,Kabul,Chahar Asyab,1640.7312773604258,2.0,Member State,AFG,ND,2022
AFG178,AFG1,Afghanistan,AFG14,Kabul,Deh Sabz,346.10966401034403,2.0,Member State,AFG,ND,2022
AFG179,AFG1,Afghanistan,AFG14,Kabul,Estalef,39.080980688413796,2.0,Member State,AFG,ND,2022
AFG18,AFG1,Afghanistan,AFG1,Badakhshan,Shaki,50.48967202695754,2.0,Member State,AFG,ND,2022
AFG180,AFG1,Afghanistan,AFG14,Kabul,Farza,71.61514644031422,2.0,Member State,AFG,ND,2022
AFG181,AFG1,Afghanistan,AFG14,Kabul,Guldara,49.75040471442808,2.0,Member State,AFG,ND,2022
AFG182,AFG1,Afghanistan,AFG14,Kabul,Kabul,12700.014168670925,2.0,Member State,AFG,ND,2022
AFG183,AFG1,Afghanistan,AFG14,Kabul,Kalakan,82.72693982031511,2.0,Member State,AFG,ND,2022
AFG184,AFG1,Afghanistan,AFG14,Kabul,Khak-e- Jabbar,40.19689608155365,2.0,Member State,AFG,ND,2022
AFG185,AFG1,Afghanistan,AFG14,Kabul,Mir Bacha Kot,104.65891439575641,2.0,Member State,AFG,ND,2022
AFG186,AFG1,Afghanistan,AFG14,Kabul,Musayi,217.6873515786354,2.0,Member State,AFG,ND,2022
AFG187,AFG1,Afghanistan,AFG14,Kabul,Paghman,459.93773260978077,2.0,Member State,AFG,ND,2022
AFG188,AFG1,Afghanistan,AFG14,Kabul,Qarabagh,84.73929259934587,2.0,Member State,AFG,ND,2022
AFG189,AFG1,Afghanistan,AFG14,Kabul,Shakardara,690.805959149571,2.0,Member State,AFG,ND,2022
