L0_CODE,L0_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,Afghanistan,65299.955245749145,0,Member State,AFG,ND,2022
BGD23,Bangladesh,1052451.9249309285,0,Member State,BGD,ND,2022
BTN31,Bhutan,10390.78878432217,0,Member State,BTN,ND,2022
DS38520,Arunchal Pradesh,11261.357296344802,0,,,D,2022
DS38521,Disputed - India/Pakistan,2.773030112324786,0,,,D,2022
DS38522,"Disputed Area, China-India-Nepal",0.35402288155414496,0,,,D,2022
DS38523,Disputed Area - China-India,0.14116188304285265,0,,,D,2022
DS38524,Disputed Area - China-India,4.156526158819556,0,,,D,2022
DS38525,Disputed Area - China-India,2.5475370343029446,0,,,D,2022
DS38526,Disputed Area - China-India,0.9378523683326089,0,,,D,2022
DS38527,Disputed - India/Pakistan,0.009708371453993407,0,,,D,2022
DS38528,Disputed - India/Pakistan,1.1242238383114023e-05,0,,,D,2022
DS38529,Disputed - India/Pakistan,0.8042080652248611,0,,,D,2022
DS38530,Disputed - India/Pakistan,56.92471359723135,0,,,D,2022
IND115,India,9852176.40667439,0,Member State,IND,ND,2022
LKA231,Sri Lanka,230898.09115661087,0,Member State,LKA,ND,2022
MDV154,Maldives,28.181954539828485,0,Member State,MDV,ND,2022
NPL175,Nepal,115883.1305318883,0,Member State,NPL,ND,2022
PAK188,Pakistan,1248004.9892203105,0,Sovereignty unsettled,PAK,ND,2022
