globalid,wb_status,sovereign,L0_CODE,L0_NAME,L1_CODE,L1_NAME,Disputed,total_gdp,year,geo_level
{556569C7-A990-4B60-BBDA-E39A32A1E9B0},Member State,BGD,BGD23,Bangladesh,BGD41,Rangpur,ND,83951.8044859431,2022,1.0
{3EEBBD4D-7B9A-45B0-8459-4A8EFD9E5F2D},Member State,BGD,BGD23,Bangladesh,BGD42,Sylhet,ND,57569.92098720191,2022,1.0
{EFB1A5CA-5D63-4FB6-9883-05E769CCBA4E},Member State,BTN,BTN31,Bhutan,BTN43,Bumthang,ND,121.68894126492555,2022,1.0
{81AD74EE-2A71-4877-A02F-DE9047915FBC},Member State,BTN,BTN31,Bhutan,BTN44,Chhukha,ND,3162.397696023618,2022,1.0
{0B507162-0319-476C-8D84-3FABB18B7097},Member State,BTN,BTN31,Bhutan,BTN45,Dagana,ND,113.93106950700773,2022,1.0
{3AA1CECF-1CE3-4D38-8553-30F3BEB48CD7},Member State,BTN,BTN31,Bhutan,BTN46,Gasa,ND,28.22454488505023,2022,1.0
{BC51ED6C-1E10-4767-8BDC-D8A7D805C9BB},Member State,BTN,BTN31,Bhutan,BTN47,Haa,ND,126.34720377141619,2022,1.0
{8A165227-9733-406F-932E-C236BB7A9510},Member State,BTN,BTN31,Bhutan,BTN48,Lhuentse,ND,109.73777737200405,2022,1.0
{AF9E2C40-3F4A-45BA-8525-22D11C07E80F},Member State,BTN,BTN31,Bhutan,BTN49,Monggar,ND,285.6974160090125,2022,1.0
{8EA2A398-34C0-4D91-A1DE-2BE6D7AD0414},Member State,BTN,BTN31,Bhutan,BTN50,Paro,ND,644.3241354397934,2022,1.0
{05586384-E316-4D9B-A507-54CB0ED10AEA},Member State,BTN,BTN31,Bhutan,BTN51,Pemagatshel,ND,173.85127075682618,2022,1.0
{E6FA052D-F3E7-4452-82A8-16D5598565AB},Member State,BTN,BTN31,Bhutan,BTN52,Punakha,ND,218.88988021315527,2022,1.0
{4724F8B9-C918-4041-86CE-D21C001173AB},Member State,BTN,BTN31,Bhutan,BTN53,Samdrupjongkhar,ND,340.4891466007459,2022,1.0
{1B65DBF4-854D-4840-89C3-484E56C3FC08},Member State,BTN,BTN31,Bhutan,BTN54,Samtse,ND,1134.8988546199164,2022,1.0
{63D0F64B-C82D-4500-B596-0A72C28B356A},Member State,BTN,BTN31,Bhutan,BTN55,Sarpang,ND,166.4365767197904,2022,1.0
{BF972805-D507-4150-BBA4-CF3E198A7744},Member State,BTN,BTN31,Bhutan,BTN56,Thimphu,ND,1672.1220127853292,2022,1.0
{C94E6BBB-FCC3-470E-B9F2-D64EA427C22F},Member State,BTN,BTN31,Bhutan,BTN57,Trashigang,ND,678.3518534364281,2022,1.0
{150235AD-5F26-4FD4-AE20-1CF9D7B2AE18},Member State,BTN,BTN31,Bhutan,BTN58,Trashiyangtse,ND,155.5281160204512,2022,1.0
{50D7658F-BA68-44DC-A0B6-26353F85598C},Member State,BTN,BTN31,Bhutan,BTN59,Trongsa,ND,120.24519820612528,2022,1.0
{50B79F7A-A5F7-4177-8F0E-24556356AC1F},Member State,BTN,BTN31,Bhutan,BTN60,Tsirang,ND,319.7057966434042,2022,1.0
{FD315383-81F5-4BAC-A739-0479D44586EE},Member State,BTN,BTN31,Bhutan,BTN61,Wangduephodrang,ND,670.3779704792967,2022,1.0
