L0_CODE,L0_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,Afghanistan,68776.31920532708,0,Member State,AFG,ND,2013
BGD23,Bangladesh,595629.4736638316,0,Member State,BGD,ND,2013
BTN31,Bhutan,7075.334307679725,0,Member State,BTN,ND,2013
DS38520,Arunchal Pradesh,5219.795612118083,0,,,D,2013
DS38521,Disputed - India/Pakistan,2.1012465396580478,0,,,D,2013
DS38522,"Disputed Area, China-India-Nepal",0.252567408077082,0,,,D,2013
DS38523,Disputed Area - China-India,0.1576670267287895,0,,,D,2013
DS38524,Disputed Area - China-India,3.7342075429027246,0,,,D,2013
DS38525,Disputed Area - China-India,1.9497308623098704,0,,,D,2013
DS38526,Disputed Area - China-India,0.8543575414796655,0,,,D,2013
DS38527,Disputed - India/Pakistan,0.006799430297477369,0,,,D,2013
DS38528,Disputed - India/Pakistan,7.873701231545438e-06,0,,,D,2013
DS38529,Disputed - India/Pakistan,0.7383944182345433,0,,,D,2013
DS38530,Disputed - India/Pakistan,49.04331636863909,0,,,D,2013
IND115,India,6010223.297946575,0,Member State,IND,ND,2013
LKA231,Sri Lanka,201010.6168909103,0,Member State,LKA,ND,2013
MDV154,Maldives,20.682361181656603,0,Member State,MDV,ND,2013
NPL175,Nepal,78562.1971123081,0,Member State,NPL,ND,2013
PAK188,Pakistan,855077.2218468677,0,Sovereignty unsettled,PAK,ND,2013
