L1_CODE,L0_CODE,L0_NAME,L1_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,Badakhshan,1896.0429983271063,1.0,Member State,AFG,ND,2015
AFG10,AFG1,Afghanistan,Ghor,1364.062781672335,1.0,Member State,AFG,ND,2015
AFG11,AFG1,Afghanistan,Hilmand,1786.3648255810222,1.0,Member State,AFG,ND,2015
AFG12,AFG1,Afghanistan,Hirat,7215.832398289064,1.0,Member State,AFG,ND,2015
AFG13,AFG1,Afghanistan,Jawzjan,934.3505848516637,1.0,Member State,AFG,ND,2015
AFG14,AFG1,Afghanistan,Kabul,20098.265029492766,1.0,Member State,AFG,ND,2015
AFG15,AFG1,Afghanistan,Kandahar,4580.988582445947,1.0,Member State,AFG,ND,2015
AFG16,AFG1,Afghanistan,Kapisa,786.3360047245358,1.0,Member State,AFG,ND,2015
AFG17,AFG1,Afghanistan,Khost,1304.1859639067613,1.0,Member State,AFG,ND,2015
AFG18,AFG1,Afghanistan,Kunar,902.9865988451742,1.0,Member State,AFG,ND,2015
AFG19,AFG1,Afghanistan,Kunduz,1748.9205480778544,1.0,Member State,AFG,ND,2015
AFG2,AFG1,Afghanistan,Badghis,952.7652342796961,1.0,Member State,AFG,ND,2015
AFG20,AFG1,Afghanistan,Laghman,952.7681464243634,1.0,Member State,AFG,ND,2015
AFG21,AFG1,Afghanistan,Logar,740.95898580261,1.0,Member State,AFG,ND,2015
AFG22,AFG1,Afghanistan,Nangarhar,3547.662729429365,1.0,Member State,AFG,ND,2015
AFG23,AFG1,Afghanistan,Nimroz,575.6965547493122,1.0,Member State,AFG,ND,2015
AFG24,AFG1,Afghanistan,Nuristan,250.34558654222525,1.0,Member State,AFG,ND,2015
AFG25,AFG1,Afghanistan,Paktika,819.057587705303,1.0,Member State,AFG,ND,2015
AFG26,AFG1,Afghanistan,Paktya,937.9405376320952,1.0,Member State,AFG,ND,2015
AFG27,AFG1,Afghanistan,Panjsher,294.62686072040475,1.0,Member State,AFG,ND,2015
AFG28,AFG1,Afghanistan,Parwan,1460.6130034267585,1.0,Member State,AFG,ND,2015
AFG29,AFG1,Afghanistan,Samangan,737.029895073228,1.0,Member State,AFG,ND,2015
AFG3,AFG1,Afghanistan,Baghlan,1839.419998295467,1.0,Member State,AFG,ND,2015
AFG30,AFG1,Afghanistan,Sar-e-Pul,946.4854222763013,1.0,Member State,AFG,ND,2015
AFG31,AFG1,Afghanistan,Takhar,1962.7867229322824,1.0,Member State,AFG,ND,2015
AFG32,AFG1,Afghanistan,Uruzgan,633.3821710318016,1.0,Member State,AFG,ND,2015
AFG33,AFG1,Afghanistan,Wardak,1099.7515869007987,1.0,Member State,AFG,ND,2015
AFG34,AFG1,Afghanistan,Zabul,574.4997582411462,1.0,Member State,AFG,ND,2015
AFG4,AFG1,Afghanistan,Balkh,4294.07659554234,1.0,Member State,AFG,ND,2015
AFG5,AFG1,Afghanistan,Bamyan,788.3239851679411,1.0,Member State,AFG,ND,2015
AFG6,AFG1,Afghanistan,Daykundi,811.241412505817,1.0,Member State,AFG,ND,2015
AFG7,AFG1,Afghanistan,Farah,872.9439563520419,1.0,Member State,AFG,ND,2015
AFG8,AFG1,Afghanistan,Faryab,1852.5991978989525,1.0,Member State,AFG,ND,2015
AFG9,AFG1,Afghanistan,Ghazni,2181.1114537363183,1.0,Member State,AFG,ND,2015
BGD35,BGD23,Bangladesh,Barishal,30041.433814316868,1.0,Member State,BGD,ND,2015
BGD36,BGD23,Bangladesh,Chattogram,118950.72740389788,1.0,Member State,BGD,ND,2015
BGD37,BGD23,Bangladesh,Dhaka,239587.67700386597,1.0,Member State,BGD,ND,2015
BGD38,BGD23,Bangladesh,Khulna,74492.08362536163,1.0,Member State,BGD,ND,2015
BGD39,BGD23,Bangladesh,Mymensingh,41530.507078012546,1.0,Member State,BGD,ND,2015
BGD40,BGD23,Bangladesh,Rajshahi,75930.76261760954,1.0,Member State,BGD,ND,2015
BGD41,BGD23,Bangladesh,Rangpur,55963.787871958906,1.0,Member State,BGD,ND,2015
BGD42,BGD23,Bangladesh,Sylhet,36422.03796091125,1.0,Member State,BGD,ND,2015
BTN43,BTN31,Bhutan,Bumthang,87.77749422254415,1.0,Member State,BTN,ND,2015
BTN44,BTN31,Bhutan,Chhukha,2563.081410889282,1.0,Member State,BTN,ND,2015
BTN45,BTN31,Bhutan,Dagana,83.23047521031967,1.0,Member State,BTN,ND,2015
BTN46,BTN31,Bhutan,Gasa,20.221596193807713,1.0,Member State,BTN,ND,2015
BTN47,BTN31,Bhutan,Haa,85.34834085507079,1.0,Member State,BTN,ND,2015
BTN48,BTN31,Bhutan,Lhuentse,82.25506783085696,1.0,Member State,BTN,ND,2015
BTN49,BTN31,Bhutan,Monggar,207.34390637843842,1.0,Member State,BTN,ND,2015
BTN50,BTN31,Bhutan,Paro,322.8952763836755,1.0,Member State,BTN,ND,2015
BTN51,BTN31,Bhutan,Pemagatshel,126.20385166869154,1.0,Member State,BTN,ND,2015
BTN52,BTN31,Bhutan,Punakha,131.30992504041265,1.0,Member State,BTN,ND,2015
BTN53,BTN31,Bhutan,Samdrupjongkhar,241.9286793291794,1.0,Member State,BTN,ND,2015
BTN54,BTN31,Bhutan,Samtse,853.8584597386089,1.0,Member State,BTN,ND,2015
BTN55,BTN31,Bhutan,Sarpang,113.88069194275567,1.0,Member State,BTN,ND,2015
BTN56,BTN31,Bhutan,Thimphu,1824.7204765588278,1.0,Member State,BTN,ND,2015
BTN57,BTN31,Bhutan,Trashigang,449.19280618500096,1.0,Member State,BTN,ND,2015
BTN58,BTN31,Bhutan,Trashiyangtse,101.25236986410385,1.0,Member State,BTN,ND,2015
BTN59,BTN31,Bhutan,Trongsa,85.47457162503726,1.0,Member State,BTN,ND,2015
BTN60,BTN31,Bhutan,Tsirang,119.8678894579574,1.0,Member State,BTN,ND,2015
BTN61,BTN31,Bhutan,Wangduephodrang,339.96168305398623,1.0,Member State,BTN,ND,2015
BTN62,BTN31,Bhutan,Zhemgang,114.45288733719714,1.0,Member State,BTN,ND,2015
DS38520,DS38520,Arunchal Pradesh,Arunchal Pradesh,7280.362225263862,1.0,,,D,2015
DS38521,DS38521,Disputed - India/Pakistan,Disputed - India/Pakistan,2.155671860789332,1.0,,,D,2015
DS38522,DS38522,"Disputed Area, China-India-Nepal","Disputed Area, China-India-Nepal",0.27707636464722557,1.0,,,D,2015
DS38523,DS38523,Disputed Area - China-India,Disputed Area - China-India,0.15985462062229258,1.0,,,D,2015
DS38524,DS38524,Disputed Area - China-India,Disputed Area - China-India,3.775724589894971,1.0,,,D,2015
