globalid,wb_status,sovereign,L0_CODE,L0_NAME,L1_CODE,L1_NAME,Disputed,total_gdp,year,geo_level
{F3CCBEEC-D078-4B9A-8B7D-706A0DBA3153},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,ND,1896.0429983271063,2015,1.0
{6023E6AD-8264-4B62-893B-C36560B0C33A},Member State,AFG,AFG1,Afghanistan,AFG2,Badghis,ND,952.7652342796961,2015,1.0
{3678B860-B969-4C7A-AFEE-B32827BD64D5},Member State,AFG,AFG1,Afghanistan,AFG3,Baghlan,ND,1839.419998295467,2015,1.0
{EB84BEEB-5869-4910-B9AC-F4C51F34C899},Member State,AFG,AFG1,Afghanistan,AFG4,Balkh,ND,4294.07659554234,2015,1.0
{AAF8BDD6-459A-4945-A7BA-F05D154A5D98},Member State,AFG,AFG1,Afghanistan,AFG5,Bamyan,ND,788.3239851679411,2015,1.0
{0AEE240D-587C-4451-8D4E-550889C46D80},Member State,AFG,AFG1,Afghanistan,AFG6,Daykundi,ND,811.241412505817,2015,1.0
{7A159368-6365-4278-A439-35C8A33E7E63},Member State,AFG,AFG1,Afghanistan,AFG7,Farah,ND,872.9439563520419,2015,1.0
{6E29C778-B6FC-47D2-A3E2-172C8733079E},Member State,AFG,AFG1,Afghanistan,AFG8,Faryab,ND,1852.5991978989525,2015,1.0
{C46414A6-66C6-4FBE-B984-E54935543138},Member State,AFG,AFG1,Afghanistan,AFG9,Ghazni,ND,2181.1114537363183,2015,1.0
{81C30C23-D205-42E8-9771-173A20AA39B4},Member State,AFG,AFG1,Afghanistan,AFG10,Ghor,ND,1364.062781672335,2015,1.0
{A8FEA624-959E-4D7D-B820-415DA7E88228},Member State,AFG,AFG1,Afghanistan,AFG11,Hilmand,ND,1786.3648255810222,2015,1.0
{E8C85248-5113-481F-9734-7A440C1FC77A},Member State,AFG,AFG1,Afghanistan,AFG12,Hirat,ND,7215.832398289064,2015,1.0
{2F484D37-19C8-4261-98D6-99A227FA2D30},Member State,AFG,AFG1,Afghanistan,AFG13,Jawzjan,ND,934.3505848516637,2015,1.0
{56D8F1CC-A1CB-40A3-9663-940E164E5F65},Member State,AFG,AFG1,Afghanistan,AFG14,Kabul,ND,20098.265029492766,2015,1.0
{5B66D02E-9E1C-4833-8F33-772D3E4B4679},Member State,AFG,AFG1,Afghanistan,AFG15,Kandahar,ND,4580.988582445947,2015,1.0
{3F96070A-7679-4FF6-A729-DF67251C8AB0},Member State,AFG,AFG1,Afghanistan,AFG16,Kapisa,ND,786.3360047245358,2015,1.0
{7FCF232E-8638-4FF2-872F-38993FD4B074},Member State,AFG,AFG1,Afghanistan,AFG17,Khost,ND,1304.1859639067613,2015,1.0
{E4491DA0-D69F-4016-8D84-2661AF148DFE},Member State,AFG,AFG1,Afghanistan,AFG18,Kunar,ND,902.9865988451742,2015,1.0
{463B103B-072D-4A00-867F-B66506C64325},Member State,AFG,AFG1,Afghanistan,AFG19,Kunduz,ND,1748.9205480778544,2015,1.0
{1939DDC1-DE4D-47D1-8C98-15E9849C519C},Member State,AFG,AFG1,Afghanistan,AFG20,Laghman,ND,952.7681464243634,2015,1.0
{79342DEF-3A59-433F-A986-3437F1BC96BE},Member State,AFG,AFG1,Afghanistan,AFG21,Logar,ND,740.95898580261,2015,1.0
{3F504EF9-4711-4AE3-AA9A-C378CF7DE46B},Member State,AFG,AFG1,Afghanistan,AFG22,Nangarhar,ND,3547.662729429365,2015,1.0
{86724887-9A18-4345-B05C-D6CD7990176E},Member State,AFG,AFG1,Afghanistan,AFG23,Nimroz,ND,575.6965547493122,2015,1.0
